epoch,step,train_loss,learning_rate,grad_norm,eval_loss,eval_accuracy_branch1,eval_precision_branch1,eval_recall_branch1,eval_f1_branch1,eval_accuracy_branch2,eval_precision_branch2,eval_recall_branch2,eval_f1_branch2,eval_lambda,eval_tn_branch2,eval_fp_branch2,eval_fn_branch2,eval_tp_branch2,eval_loss_branch1,eval_loss_branch2,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,2053,4.763,0.0980009741841208,85.00357818603516,5.450265407562256,0.9810596833130328,0.9813305350998011,0.9750739015691721,0.977992146074058,0.5,0.25,0.5,0.3333333333333333,0.0,8210,0,8210,0,0.0338289849460125,5.423222541809082,15.6222,1051.068,32.902
2.0,4106,4.4879,0.0960009741841208,52.00470733642578,4.340965270996094,0.9883069427527406,0.9902632903466695,0.9887251704168734,0.9893635447834682,0.5,0.25,0.5,0.3333333333333333,0.02,8210,0,8210,0,0.02559712715446949,4.323043346405029,15.6332,1050.328,32.879
3.0,6159,4.2865,0.0940009741841208,63.36009979248047,4.251790523529053,0.9979902557856273,0.9977098834594127,0.9973579923764693,0.9975275504416693,0.5,0.25,0.5,0.3333333333333333,0.04,8210,0,8210,0,0.007072392385452986,4.251864433288574,15.7993,1039.286,32.533
4.0,8212,4.1049,0.0920009741841208,61.59183120727539,2.619391918182373,0.9968940316686967,0.9959477678360699,0.9954833368287954,0.9956979760821578,0.5,0.25,0.5,0.3333333333333333,0.06,0,8210,0,8210,0.008863967843353748,2.606147289276123,15.7027,1045.679,32.733
5.0,10265,3.9677,0.0900009741841208,104.23148345947266,3.4947350025177,0.9968940316686967,0.9962171979750245,0.9964742852585828,0.9963372497753354,0.5,0.25,0.5,0.3333333333333333,0.08,0,8210,0,8210,0.009166729636490345,3.479672908782959,15.7584,1041.981,32.617
6.0,12318,3.8501,0.0880009741841208,70.39061737060547,3.0723774433135986,0.9505481120584652,0.9565358471908616,0.9339756039357036,0.941956911227891,0.5,0.25,0.5,0.3333333333333333,0.1,0,8210,0,8210,0.10458511859178543,2.9626338481903076,15.6932,1046.31,32.753
7.0,14371,3.7122,0.08600097418412081,110.07598876953125,3.309990167617798,0.9978684531059683,0.9976178927574466,0.9969956810934633,0.9972928820914103,0.5,0.25,0.5,0.3333333333333333,0.12,8210,0,8210,0,0.008119644597172737,3.3076295852661133,15.703,1045.662,32.733
8.0,16424,3.6159,0.08400097418412081,109.4198989868164,3.026205539703369,0.8824604141291108,0.9515355858414086,0.9091363222284813,0.8870744888691263,0.5,0.25,0.5,0.3333333333333333,0.14,0,8210,0,8210,0.18681485950946808,2.8343379497528076,15.5861,1053.501,32.978
9.0,18477,3.4914,0.0820009741841208,109.05866241455078,3.569404363632202,0.9644336175395859,0.9584284090149672,0.9661130574159743,0.9589994218243983,0.5,0.25,0.5,0.3333333333333333,0.16,8210,0,8210,0,0.053564541041851044,3.5217628479003906,15.6369,1050.078,32.871
10.0,20530,3.3813,0.0800009741841208,104.3948974609375,2.724381685256958,0.995006090133983,0.9945980058800935,0.9952828924959687,0.9948950319348928,0.5,0.25,0.5,0.3333333333333333,0.18,0,8210,0,8210,0.014104042202234268,2.7057089805603027,15.6035,1052.329,32.941
11.0,22583,3.3055,0.0780009741841208,91.14340209960938,2.802198886871338,0.9985992691839221,0.9980713464160935,0.9985511706209668,0.9983091285355251,0.5,0.25,0.5,0.3333333333333333,0.2,8210,0,8210,0,0.006907506380230188,2.799697160720825,15.6689,1047.938,32.804
12.0,24636,3.2301,0.0760009741841208,104.56835174560547,2.520246982574463,0.998964677222899,0.9984217091156314,0.9986100523221292,0.9985154357256406,0.5,0.25,0.5,0.3333333333333333,0.22,0,8210,0,8210,0.005855243653059006,2.510178327560425,15.6749,1047.532,32.791
13.0,26689,3.0953,0.0740009741841208,69.97301483154297,3.037379026412964,0.9983556638246042,0.9977039649897534,0.9977055944217909,0.9976964185621491,0.5,0.25,0.5,0.3333333333333333,0.24,8210,0,8210,0,0.007488086353987455,3.034735918045044,15.5745,1054.284,33.003
14.0,28742,3.0476,0.07200097418412081,50.56598663330078,2.770319938659668,0.9969549330085262,0.99621193136705,0.9958565165488154,0.9960059317657262,0.5,0.25,0.5,0.3333333333333333,0.26,8210,0,8210,0,0.010255337692797184,2.764470338821411,15.5968,1052.778,32.955
15.0,30795,2.9642,0.07000097418412081,108.00990295410156,2.8283002376556396,0.9971985383678441,0.9965939209122474,0.9958438002650951,0.9961960134196253,0.5,0.25,0.5,0.3333333333333333,0.28,0,8210,0,8210,0.009204909205436707,2.8143527507781982,15.6583,1048.648,32.826
16.0,32848,2.91,0.06800097418412081,59.895450592041016,2.9048686027526855,0.9982338611449452,0.997958840655641,0.9979416262614271,0.997949828395268,0.5,0.25,0.5,0.3333333333333333,0.3,8210,0,8210,0,0.006972854491323233,2.9022810459136963,15.6853,1046.84,32.77
17.0,34901,2.8093,0.0660009741841208,67.66133880615234,2.3815252780914307,0.7677222898903776,0.9404849342147162,0.8192299279030762,0.797230305903443,0.5,0.25,0.5,0.3333333333333333,0.32,0,8210,0,8210,0.4740349054336548,1.9035815000534058,15.6119,1051.763,32.924
18.0,36954,2.7803,0.0640009741841208,119.54946899414062,2.9794304370880127,0.9982338611449452,0.9976231610900675,0.9981364997517506,0.9978772027957615,0.5,0.25,0.5,0.3333333333333333,0.34,8210,0,8210,0,0.008882670663297176,2.9751455783843994,15.5886,1053.337,32.973
19.0,39007,2.6904,0.062000974184120795,92.16595458984375,2.2649829387664795,0.9972594397076736,0.9967769094146515,0.9959795861113077,0.9963569558355103,0.5,0.25,0.5,0.3333333333333333,0.36,0,8210,0,8210,0.01042606309056282,2.2508106231689453,15.6328,1050.357,32.88
20.0,41060,2.6426,0.06000097418412081,87.37786102294922,2.102231025695801,0.9990255785627283,0.9986410731645875,0.9985210031414904,0.9985790044846521,0.5,0.25,0.5,0.3333333333333333,0.38,0,8210,0,8210,0.00586724653840065,2.0929222106933594,15.6787,1047.279,32.783
21.0,43113,2.5763,0.058000974184120806,87.26686096191406,2.816082715988159,0.9983556638246042,0.9973835624884617,0.9974210351993615,0.9973888395727795,0.5,0.25,0.5,0.3333333333333333,0.4,8210,0,8210,0,0.006871568504720926,2.8133771419525146,15.6729,1047.666,32.795
22.0,45166,2.4776,0.056000974184120804,70.0050048828125,1.9529615640640259,0.9982947624847747,0.9980007275488455,0.9980382687550555,0.9980175657170111,0.5,0.25,0.5,0.3333333333333333,0.42,0,8210,0,8210,0.007233596406877041,1.9425408840179443,15.6843,1046.909,32.772
23.0,47219,2.4116,0.0540009741841208,49.988380432128906,1.6980081796646118,0.9982338611449452,0.9974413374444694,0.9974254241871499,0.9974277736795965,0.5,0.25,0.5,0.3333333333333333,0.44,8210,0,8210,0,0.007065019570291042,1.6933444738388062,15.6235,1050.982,32.899
24.0,49272,2.3605,0.0520009741841208,99.20438385009766,2.221090078353882,0.9985992691839221,0.9982844239689446,0.9981349393699088,0.9982083086320671,0.5,0.25,0.5,0.3333333333333333,0.46,8210,0,8210,0,0.010620416142046452,2.213815927505493,15.7018,1045.739,32.735
25.0,51325,2.2868,0.0500009741841208,90.56910705566406,2.009197950363159,0.99884287454324,0.9983760937238885,0.9983394147277341,0.9983567749204102,0.5,0.25,0.5,0.3333333333333333,0.48,0,8210,0,8210,0.006305885035544634,1.9996240139007568,15.6323,1050.387,32.881
26.0,53378,2.2312,0.048000974184120804,109.25414276123047,2.289795398712158,0.9452496954933008,0.947703927435629,0.9302110196621419,0.93567900532586,0.5,0.25,0.5,0.3333333333333333,0.5,8210,0,8210,0,0.1200672909617424,2.172762393951416,15.6225,1051.051,32.901
27.0,55431,2.1542,0.0460009741841208,81.42951965332031,1.8608293533325195,0.9978075517661389,0.997788608004715,0.9978660696405015,0.9978208651756707,0.5,0.25,0.5,0.3333333333333333,0.52,0,8210,0,8210,0.008684763684868813,1.8491567373275757,15.6318,1050.422,32.882
28.0,57484,2.0712,0.0440009741841208,96.13890075683594,1.9010140895843506,0.9965286236297198,0.9958880523912345,0.9951756651710956,0.9955008792147351,0.5,0.25,0.5,0.3333333333333333,0.54,8210,0,8210,0,0.012214645743370056,1.8915451765060425,15.6619,1048.402,32.818
29.0,59537,2.0024,0.0420009741841208,81.78727722167969,1.5478318929672241,0.9967722289890377,0.9956866204415462,0.9954465803268531,0.9955482656944068,0.5,0.25,0.5,0.3333333333333333,0.56,0,8210,0,8210,0.008729533292353153,1.5366982221603394,15.7658,1041.496,32.602
