epoch,step,train_loss,learning_rate,grad_norm,eval_loss,eval_accuracy_branch1,eval_precision_branch1,eval_recall_branch1,eval_f1_branch1,eval_accuracy_branch2,eval_precision_branch2,eval_recall_branch2,eval_f1_branch2,eval_lambda,eval_tn_branch2,eval_fp_branch2,eval_fn_branch2,eval_tp_branch2,eval_loss_branch1,eval_loss_branch2,eval_cm_branch1_actual0_pred0,eval_cm_branch1_actual0_pred1,eval_cm_branch1_actual0_pred2,eval_cm_branch1_actual0_pred3,eval_cm_branch1_actual0_pred4,eval_cm_branch1_actual0_pred5,eval_cm_branch1_actual0_pred6,eval_cm_branch1_actual0_pred7,eval_cm_branch1_actual0_pred8,eval_cm_branch1_actual0_pred9,eval_cm_branch1_actual0_pred10,eval_cm_branch1_actual1_pred0,eval_cm_branch1_actual1_pred1,eval_cm_branch1_actual1_pred2,eval_cm_branch1_actual1_pred3,eval_cm_branch1_actual1_pred4,eval_cm_branch1_actual1_pred5,eval_cm_branch1_actual1_pred6,eval_cm_branch1_actual1_pred7,eval_cm_branch1_actual1_pred8,eval_cm_branch1_actual1_pred9,eval_cm_branch1_actual1_pred10,eval_cm_branch1_actual2_pred0,eval_cm_branch1_actual2_pred1,eval_cm_branch1_actual2_pred2,eval_cm_branch1_actual2_pred3,eval_cm_branch1_actual2_pred4,eval_cm_branch1_actual2_pred5,eval_cm_branch1_actual2_pred6,eval_cm_branch1_actual2_pred7,eval_cm_branch1_actual2_pred8,eval_cm_branch1_actual2_pred9,eval_cm_branch1_actual2_pred10,eval_cm_branch1_actual3_pred0,eval_cm_branch1_actual3_pred1,eval_cm_branch1_actual3_pred2,eval_cm_branch1_actual3_pred3,eval_cm_branch1_actual3_pred4,eval_cm_branch1_actual3_pred5,eval_cm_branch1_actual3_pred6,eval_cm_branch1_actual3_pred7,eval_cm_branch1_actual3_pred8,eval_cm_branch1_actual3_pred9,eval_cm_branch1_actual3_pred10,eval_cm_branch1_actual4_pred0,eval_cm_branch1_actual4_pred1,eval_cm_branch1_actual4_pred2,eval_cm_branch1_actual4_pred3,eval_cm_branch1_actual4_pred4,eval_cm_branch1_actual4_pred5,eval_cm_branch1_actual4_pred6,eval_cm_branch1_actual4_pred7,eval_cm_branch1_actual4_pred8,eval_cm_branch1_actual4_pred9,eval_cm_branch1_actual4_pred10,eval_cm_branch1_actual5_pred0,eval_cm_branch1_actual5_pred1,eval_cm_branch1_actual5_pred2,eval_cm_branch1_actual5_pred3,eval_cm_branch1_actual5_pred4,eval_cm_branch1_actual5_pred5,eval_cm_branch1_actual5_pred6,eval_cm_branch1_actual5_pred7,eval_cm_branch1_actual5_pred8,eval_cm_branch1_actual5_pred9,eval_cm_branch1_actual5_pred10,eval_cm_branch1_actual6_pred0,eval_cm_branch1_actual6_pred1,eval_cm_branch1_actual6_pred2,eval_cm_branch1_actual6_pred3,eval_cm_branch1_actual6_pred4,eval_cm_branch1_actual6_pred5,eval_cm_branch1_actual6_pred6,eval_cm_branch1_actual6_pred7,eval_cm_branch1_actual6_pred8,eval_cm_branch1_actual6_pred9,eval_cm_branch1_actual6_pred10,eval_cm_branch1_actual7_pred0,eval_cm_branch1_actual7_pred1,eval_cm_branch1_actual7_pred2,eval_cm_branch1_actual7_pred3,eval_cm_branch1_actual7_pred4,eval_cm_branch1_actual7_pred5,eval_cm_branch1_actual7_pred6,eval_cm_branch1_actual7_pred7,eval_cm_branch1_actual7_pred8,eval_cm_branch1_actual7_pred9,eval_cm_branch1_actual7_pred10,eval_cm_branch1_actual8_pred0,eval_cm_branch1_actual8_pred1,eval_cm_branch1_actual8_pred2,eval_cm_branch1_actual8_pred3,eval_cm_branch1_actual8_pred4,eval_cm_branch1_actual8_pred5,eval_cm_branch1_actual8_pred6,eval_cm_branch1_actual8_pred7,eval_cm_branch1_actual8_pred8,eval_cm_branch1_actual8_pred9,eval_cm_branch1_actual8_pred10,eval_cm_branch1_actual9_pred0,eval_cm_branch1_actual9_pred1,eval_cm_branch1_actual9_pred2,eval_cm_branch1_actual9_pred3,eval_cm_branch1_actual9_pred4,eval_cm_branch1_actual9_pred5,eval_cm_branch1_actual9_pred6,eval_cm_branch1_actual9_pred7,eval_cm_branch1_actual9_pred8,eval_cm_branch1_actual9_pred9,eval_cm_branch1_actual9_pred10,eval_cm_branch1_actual10_pred0,eval_cm_branch1_actual10_pred1,eval_cm_branch1_actual10_pred2,eval_cm_branch1_actual10_pred3,eval_cm_branch1_actual10_pred4,eval_cm_branch1_actual10_pred5,eval_cm_branch1_actual10_pred6,eval_cm_branch1_actual10_pred7,eval_cm_branch1_actual10_pred8,eval_cm_branch1_actual10_pred9,eval_cm_branch1_actual10_pred10,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,2053,1.3914,0.0980009741841208,3.799164056777954,0.9345929026603699,0.7008526187576126,0.6470225311190094,0.6664007488225772,0.6374545539645227,0.5310596833130329,0.5499634858812075,0.5310596833130329,0.48206964044243283,0.0,6885,1325,6375,1835,0.24145109951496124,0.6931132078170776,797,0,8,0,42,2,0,3,11,30,19,21,0,533,0,92,0,0,0,2,0,0,21,0,540,0,55,0,0,3,15,0,0,1,0,0,607,0,6,4,9,77,0,42,41,0,27,1,1490,157,0,6,8,36,46,47,3,58,15,1067,475,0,0,8,39,70,0,0,0,41,0,0,2512,26,17,146,136,0,0,0,6,0,0,11,1477,475,0,11,0,0,0,7,0,0,72,71,1821,0,5,3,0,5,1,504,82,17,0,0,716,96,21,0,3,70,198,88,42,18,10,105,1073,16.6002,989.144,30.963
2.0,4106,1.2052,0.0960009741841208,5.63123083114624,0.7406081557273865,0.7008526187576126,0.7207394440614915,0.6996916464927888,0.7014989865526498,0.6459196102314251,0.70600772323176,0.6459196102314251,0.6180693274214246,0.0004,3086,5124,690,7520,0.10926436632871628,0.6305598616600037,778,1,4,9,57,48,1,0,1,10,3,5,454,118,0,10,61,0,0,0,0,0,9,199,392,0,1,33,0,0,0,0,0,0,4,1,600,21,40,0,0,33,1,46,12,4,3,1,1278,482,0,0,0,28,4,39,24,5,3,664,1007,0,0,0,20,20,2,0,0,81,1,11,2131,11,9,453,179,1,0,0,85,0,0,9,1395,469,0,21,2,0,0,40,3,0,51,60,1816,1,3,2,5,2,0,520,95,0,0,0,774,26,11,4,2,42,259,276,15,2,4,130,883,16.7516,980.206,30.684
3.0,6159,1.2067,0.0940009741841208,4.260407447814941,0.6617279052734375,0.7336784409257003,0.735086118870612,0.7279946573608278,0.7234641809522416,0.6664433617539586,0.688617830820929,0.6664433617539586,0.6563430297447754,0.0016,4064,4146,1331,6879,0.06574886292219162,0.595463752746582,819,3,1,14,32,25,3,0,1,9,5,12,449,149,0,8,28,0,0,0,2,0,13,180,423,0,2,16,0,0,0,0,0,0,0,0,659,24,6,0,2,23,0,32,22,12,8,3,1152,561,0,0,0,23,31,50,21,4,6,503,1120,0,0,0,26,52,1,0,0,49,0,1,2583,53,5,69,117,0,0,0,155,1,0,8,1396,415,0,5,0,0,0,94,2,2,65,84,1729,0,0,24,4,0,0,456,121,0,0,0,795,24,27,4,1,67,228,226,50,5,4,94,922,16.3379,1005.026,31.461
4.0,8212,1.2273,0.0920009741841208,6.905882358551025,0.6394065022468567,0.7208282582216808,0.7329104032316299,0.7098304468164168,0.7122010394161612,0.6379415347137637,0.6960237340340059,0.6379415347137637,0.6089762688445065,0.0036,7472,738,5207,3003,0.05661153420805931,0.5829212069511414,746,6,1,8,106,26,1,0,0,12,6,5,386,206,0,17,33,0,0,0,1,0,3,131,468,0,10,22,0,0,0,0,0,0,0,0,619,40,21,8,12,8,0,38,5,10,5,1,1329,402,0,0,0,55,5,30,33,4,0,635,975,1,0,0,99,5,24,1,0,27,0,0,2543,53,20,165,45,0,1,4,120,40,0,10,1492,308,0,5,0,0,1,71,11,3,61,188,1638,0,3,20,11,1,0,506,56,0,0,0,824,6,10,4,3,12,312,231,34,2,5,199,816,16.3182,1006.239,31.499
5.0,10265,1.2887,0.0900009741841208,4.868295192718506,0.6396581530570984,0.7379415347137637,0.7388098868468181,0.726401663024599,0.7238706139136731,0.6714372716199757,0.6932628332888374,0.6714372716199757,0.6618914514916832,0.0064,6892,1318,4077,4133,0.03660780191421509,0.6030606031417847,816,1,3,13,14,52,3,0,1,6,3,6,341,228,0,6,67,0,0,0,0,0,3,102,497,0,0,32,0,0,0,0,0,0,0,0,622,4,1,4,9,32,0,74,10,0,5,3,1148,604,0,0,0,36,6,41,6,4,11,436,1212,1,0,0,45,26,7,0,0,35,0,2,2560,53,17,116,88,0,0,0,162,0,0,7,1510,298,0,3,0,0,0,104,1,1,56,123,1691,0,0,34,6,0,0,371,167,0,0,0,837,9,14,0,4,61,130,325,44,4,6,157,883,16.44,998.785,31.265
6.0,12318,1.3588,0.0880009741841208,2.808445453643799,0.6634148359298706,0.7465895249695493,0.7508624965682109,0.7366424544655885,0.7342646855532212,0.6079780755176614,0.6098759132322429,0.6079780755176614,0.6062779290219826,0.010000000000000002,5531,2679,3758,4452,0.03172684088349342,0.6314335465431213,798,0,3,12,44,49,1,0,0,3,2,12,402,189,0,11,34,0,0,0,0,0,5,129,473,0,4,23,0,0,0,0,0,3,0,0,648,20,19,4,12,15,0,25,11,3,7,3,1250,507,0,0,0,26,5,34,7,16,1,466,1192,1,0,0,51,14,20,0,0,68,1,1,2567,39,10,59,113,0,0,0,153,6,0,20,1591,208,0,2,0,0,0,106,2,0,145,47,1675,0,1,38,0,3,0,484,77,0,0,0,791,31,11,3,4,62,204,321,53,3,7,88,872,16.506,994.788,31.14
7.0,14371,1.4298,0.08600097418412081,7.618806838989258,0.7938333749771118,0.7377588306942753,0.7496041290559083,0.7251652530326163,0.7294618298058467,0.5814250913520097,0.6248244807303103,0.5814250913520097,0.5415787349638297,0.0144,7194,1016,5857,2353,0.02186686173081398,0.7723143696784973,817,0,2,13,20,49,7,0,1,1,2,9,392,177,0,33,35,0,0,0,2,0,7,126,459,0,15,27,0,0,0,0,0,1,0,0,601,6,14,9,9,18,0,88,5,0,2,3,1270,502,0,0,0,19,11,30,3,1,4,514,1182,0,0,0,24,24,5,0,0,34,0,5,2625,74,11,23,101,0,0,0,124,0,0,17,1463,372,0,4,0,0,0,78,0,1,96,240,1561,0,0,24,3,1,0,453,127,1,0,0,796,19,8,1,3,59,164,287,88,2,8,60,948,16.4745,996.69,31.2
8.0,16424,1.4955,0.08400097418412081,6.9199442863464355,0.8943126797676086,0.7356272838002436,0.7425203803976703,0.7276572235577987,0.7267812840545657,0.5288672350791718,0.5434104709151607,0.5288672350791718,0.4858009048243937,0.019600000000000003,1966,6244,1492,6718,0.018036391586065292,0.875389039516449,801,0,2,14,30,49,2,0,0,9,5,4,380,213,1,25,23,0,0,0,2,0,2,88,507,0,9,28,0,0,0,0,0,1,0,0,604,3,17,11,8,25,0,77,4,1,4,4,1227,540,0,0,0,26,6,17,10,4,10,461,1204,0,0,0,55,21,8,0,0,61,0,0,2593,52,0,59,105,0,0,0,159,0,0,20,1613,182,0,6,0,0,0,125,0,1,208,273,1369,0,0,30,1,2,0,391,118,0,0,0,852,30,11,2,5,69,150,263,67,1,7,124,929,16.4726,996.808,31.203
9.0,18477,1.5828,0.0820009741841208,10.813700675964355,0.8735116720199585,0.7373934226552984,0.7359995608694369,0.7282032135900142,0.7263393547334034,0.5123020706455542,0.5599933437999667,0.5123020706455542,0.39133951137320977,0.0256,7866,344,7664,546,0.014811273664236069,0.8592495918273926,828,2,6,16,11,28,5,0,3,11,2,1,385,221,9,13,16,0,0,0,3,0,6,114,493,0,2,19,0,0,0,0,0,1,0,1,590,17,16,7,21,19,0,74,20,4,6,12,1126,599,0,0,0,37,8,32,16,4,14,368,1270,3,0,0,59,16,12,0,0,32,0,7,2550,62,5,48,162,0,0,0,90,0,0,23,1552,312,0,3,0,0,0,75,0,0,77,250,1574,0,0,25,6,1,0,423,154,0,0,0,800,15,23,1,5,61,103,294,76,5,25,95,940,16.4396,998.809,31.266
10.0,20530,1.6488,0.0800009741841208,14.395180702209473,0.8205331563949585,0.7299025578562729,0.730790805980767,0.7197874578336424,0.7206592940247261,0.5096224116930572,0.7524289755257656,0.5096224116930572,0.35436690591721637,0.0324,158,8052,0,8210,0.012649686075747013,0.8069979548454285,802,3,5,16,20,37,3,0,2,21,3,1,388,215,6,19,16,0,0,0,3,0,3,121,485,0,4,21,0,0,0,0,0,1,0,0,557,8,7,3,9,40,1,120,8,5,3,8,1195,557,0,0,0,24,12,25,7,5,13,404,1229,4,0,0,61,34,19,0,0,40,0,3,2461,68,12,96,179,0,0,0,103,0,0,27,1474,372,0,4,0,0,0,65,0,0,119,165,1627,0,0,19,8,0,0,369,197,0,0,0,800,31,10,0,4,55,117,278,77,6,30,84,967,16.4425,998.63,31.26
