epoch,step,train_loss,learning_rate,grad_norm,eval_loss,eval_accuracy_branch1,eval_precision_branch1,eval_recall_branch1,eval_f1_branch1,eval_accuracy_branch2,eval_precision_branch2,eval_recall_branch2,eval_f1_branch2,eval_lambda,eval_tn_branch2,eval_fp_branch2,eval_fn_branch2,eval_tp_branch2,eval_loss_branch1,eval_loss_branch2,eval_cm_branch1_actual0_pred0,eval_cm_branch1_actual0_pred1,eval_cm_branch1_actual0_pred2,eval_cm_branch1_actual0_pred3,eval_cm_branch1_actual0_pred4,eval_cm_branch1_actual0_pred5,eval_cm_branch1_actual0_pred6,eval_cm_branch1_actual0_pred7,eval_cm_branch1_actual0_pred8,eval_cm_branch1_actual0_pred9,eval_cm_branch1_actual0_pred10,eval_cm_branch1_actual1_pred0,eval_cm_branch1_actual1_pred1,eval_cm_branch1_actual1_pred2,eval_cm_branch1_actual1_pred3,eval_cm_branch1_actual1_pred4,eval_cm_branch1_actual1_pred5,eval_cm_branch1_actual1_pred6,eval_cm_branch1_actual1_pred7,eval_cm_branch1_actual1_pred8,eval_cm_branch1_actual1_pred9,eval_cm_branch1_actual1_pred10,eval_cm_branch1_actual2_pred0,eval_cm_branch1_actual2_pred1,eval_cm_branch1_actual2_pred2,eval_cm_branch1_actual2_pred3,eval_cm_branch1_actual2_pred4,eval_cm_branch1_actual2_pred5,eval_cm_branch1_actual2_pred6,eval_cm_branch1_actual2_pred7,eval_cm_branch1_actual2_pred8,eval_cm_branch1_actual2_pred9,eval_cm_branch1_actual2_pred10,eval_cm_branch1_actual3_pred0,eval_cm_branch1_actual3_pred1,eval_cm_branch1_actual3_pred2,eval_cm_branch1_actual3_pred3,eval_cm_branch1_actual3_pred4,eval_cm_branch1_actual3_pred5,eval_cm_branch1_actual3_pred6,eval_cm_branch1_actual3_pred7,eval_cm_branch1_actual3_pred8,eval_cm_branch1_actual3_pred9,eval_cm_branch1_actual3_pred10,eval_cm_branch1_actual4_pred0,eval_cm_branch1_actual4_pred1,eval_cm_branch1_actual4_pred2,eval_cm_branch1_actual4_pred3,eval_cm_branch1_actual4_pred4,eval_cm_branch1_actual4_pred5,eval_cm_branch1_actual4_pred6,eval_cm_branch1_actual4_pred7,eval_cm_branch1_actual4_pred8,eval_cm_branch1_actual4_pred9,eval_cm_branch1_actual4_pred10,eval_cm_branch1_actual5_pred0,eval_cm_branch1_actual5_pred1,eval_cm_branch1_actual5_pred2,eval_cm_branch1_actual5_pred3,eval_cm_branch1_actual5_pred4,eval_cm_branch1_actual5_pred5,eval_cm_branch1_actual5_pred6,eval_cm_branch1_actual5_pred7,eval_cm_branch1_actual5_pred8,eval_cm_branch1_actual5_pred9,eval_cm_branch1_actual5_pred10,eval_cm_branch1_actual6_pred0,eval_cm_branch1_actual6_pred1,eval_cm_branch1_actual6_pred2,eval_cm_branch1_actual6_pred3,eval_cm_branch1_actual6_pred4,eval_cm_branch1_actual6_pred5,eval_cm_branch1_actual6_pred6,eval_cm_branch1_actual6_pred7,eval_cm_branch1_actual6_pred8,eval_cm_branch1_actual6_pred9,eval_cm_branch1_actual6_pred10,eval_cm_branch1_actual7_pred0,eval_cm_branch1_actual7_pred1,eval_cm_branch1_actual7_pred2,eval_cm_branch1_actual7_pred3,eval_cm_branch1_actual7_pred4,eval_cm_branch1_actual7_pred5,eval_cm_branch1_actual7_pred6,eval_cm_branch1_actual7_pred7,eval_cm_branch1_actual7_pred8,eval_cm_branch1_actual7_pred9,eval_cm_branch1_actual7_pred10,eval_cm_branch1_actual8_pred0,eval_cm_branch1_actual8_pred1,eval_cm_branch1_actual8_pred2,eval_cm_branch1_actual8_pred3,eval_cm_branch1_actual8_pred4,eval_cm_branch1_actual8_pred5,eval_cm_branch1_actual8_pred6,eval_cm_branch1_actual8_pred7,eval_cm_branch1_actual8_pred8,eval_cm_branch1_actual8_pred9,eval_cm_branch1_actual8_pred10,eval_cm_branch1_actual9_pred0,eval_cm_branch1_actual9_pred1,eval_cm_branch1_actual9_pred2,eval_cm_branch1_actual9_pred3,eval_cm_branch1_actual9_pred4,eval_cm_branch1_actual9_pred5,eval_cm_branch1_actual9_pred6,eval_cm_branch1_actual9_pred7,eval_cm_branch1_actual9_pred8,eval_cm_branch1_actual9_pred9,eval_cm_branch1_actual9_pred10,eval_cm_branch1_actual10_pred0,eval_cm_branch1_actual10_pred1,eval_cm_branch1_actual10_pred2,eval_cm_branch1_actual10_pred3,eval_cm_branch1_actual10_pred4,eval_cm_branch1_actual10_pred5,eval_cm_branch1_actual10_pred6,eval_cm_branch1_actual10_pred7,eval_cm_branch1_actual10_pred8,eval_cm_branch1_actual10_pred9,eval_cm_branch1_actual10_pred10,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,2053,1.4264,0.0980009741841208,4.0825958251953125,0.9653218984603882,0.6214981729598051,0.5990233462273318,0.5951870491074868,0.5716959975172441,0.5331303288672351,0.5460942877033902,0.5331303288672351,0.49782103249048815,0.0,6554,1656,6010,2200,0.29388734698295593,0.6712568998336792,704,0,68,2,98,20,1,0,2,6,11,1,0,618,0,13,16,0,0,0,0,0,5,0,609,0,1,10,0,0,9,0,0,0,0,7,385,0,110,0,7,44,0,193,1,0,105,0,1171,468,0,0,0,11,56,25,0,98,6,833,686,1,0,3,12,118,0,0,0,32,3,0,2081,10,12,521,219,0,0,0,16,0,1,7,1081,843,0,32,3,0,0,14,2,0,55,22,1851,1,28,1,0,11,0,504,82,4,0,0,636,186,8,0,5,38,266,175,27,2,0,106,1001,17.4888,938.888,29.39
2.0,4106,1.2573,0.0960009741841208,4.727694988250732,0.7517435550689697,0.7197929354445798,0.7198903667499464,0.6991720360628091,0.7040859319785844,0.6322777101096224,0.7207770944860177,0.6322777101096224,0.5913227290557802,0.0004,2592,5618,420,7790,0.11679515242576599,0.6345698237419128,728,0,15,22,61,57,1,0,0,20,8,1,406,170,1,11,59,0,0,0,0,0,5,179,410,0,2,38,0,0,0,0,0,0,0,0,527,26,50,0,11,30,0,102,20,2,16,10,1175,516,0,0,2,29,42,27,2,12,17,619,1018,4,0,0,40,43,1,0,0,81,0,6,2395,41,21,112,221,0,0,0,96,1,0,11,1582,284,0,6,0,0,0,39,4,0,45,37,1849,1,1,4,0,6,2,418,196,2,0,0,731,65,9,0,2,106,190,174,47,4,6,92,998,17.364,945.637,29.602
3.0,6159,1.2487,0.0940009741841208,5.88232421875,0.6530095934867859,0.7165651644336175,0.722050573549059,0.7046642955658583,0.7055964520333996,0.6880024360535931,0.6917449590428688,0.6880024360535932,0.6864725605672926,0.0016,5075,3135,1988,6222,0.06835855543613434,0.5846683979034424,783,3,3,21,23,31,31,0,0,7,10,2,384,181,6,22,53,0,0,0,0,0,19,127,447,1,9,31,0,0,0,0,0,2,0,0,608,22,7,4,13,17,0,73,28,5,5,24,1217,481,0,0,0,43,9,53,6,0,25,538,1069,9,0,0,56,26,3,0,0,42,0,1,2596,33,6,55,142,1,0,0,128,1,0,75,1473,291,0,11,0,0,0,107,4,0,201,149,1515,0,0,14,0,1,2,526,94,4,0,0,769,14,21,0,1,94,165,191,146,0,4,101,905,17.1799,955.765,29.919
4.0,8212,1.2659,0.0920009741841208,5.898129940032959,0.6273385882377625,0.743605359317905,0.741316725898982,0.7304484858644748,0.7288161945927751,0.7059074299634592,0.721883410102024,0.7059074299634591,0.7005166024003692,0.0036,6897,1313,3516,4694,0.04810221865773201,0.5795714855194092,779,0,3,20,57,28,7,0,0,3,15,2,350,246,0,7,43,0,0,0,0,0,9,72,510,0,12,31,0,0,0,0,0,2,0,1,582,26,5,1,7,5,0,117,19,10,1,10,1228,497,0,0,0,19,28,21,21,11,18,435,1189,4,0,0,30,53,7,0,0,68,0,9,2401,32,5,116,240,0,0,3,128,2,0,12,1664,153,0,18,2,0,0,82,3,1,97,79,1712,0,0,13,2,4,2,498,103,0,0,0,767,35,18,0,4,83,144,160,70,0,1,120,1028,17.376,944.98,29.581
5.0,10265,1.291,0.0900009741841208,6.025662422180176,0.6463963985443115,0.746163215590743,0.7438410334628833,0.7345742072506966,0.7350830863077612,0.6855054811205846,0.7001960551874891,0.6855054811205846,0.6796281851486248,0.0064,4516,3694,1470,6740,0.03549192100763321,0.6110585927963257,810,3,4,17,17,51,3,0,0,2,5,2,473,113,0,1,59,0,0,0,0,0,8,167,419,0,1,39,0,0,0,0,0,0,0,0,568,18,1,0,19,16,0,124,16,5,11,10,1213,530,0,0,1,23,3,25,21,1,13,454,1218,3,0,0,28,19,2,0,0,45,0,2,2442,65,17,128,177,0,0,0,94,0,0,6,1670,203,0,7,0,0,0,56,0,0,49,146,1724,0,1,24,8,10,0,467,118,0,0,0,786,11,19,1,2,73,165,216,34,1,5,183,929,17.4285,942.133,29.492
6.0,12318,1.3569,0.0880009741841208,5.025389671325684,0.6760004758834839,0.7481120584652863,0.7390759655003556,0.7378229304528928,0.7307367889106865,0.633373934226553,0.6371484281939925,0.633373934226553,0.6308339579815991,0.010000000000000002,5881,2329,3691,4519,0.03386343643069267,0.6424229145050049,772,14,4,27,18,50,9,0,2,2,14,7,419,175,11,4,32,0,0,0,0,0,5,140,460,9,5,15,0,0,0,0,0,0,0,0,639,10,2,0,6,27,0,62,47,7,11,33,1212,466,0,0,0,21,15,40,8,5,33,411,1205,3,0,0,37,40,5,0,0,88,0,1,2464,46,15,84,175,0,0,0,125,0,0,8,1569,277,0,1,0,0,0,93,0,0,46,31,1806,0,0,18,7,4,4,501,120,0,0,0,746,24,22,2,3,116,131,181,54,1,5,121,992,17.2708,950.736,29.761
7.0,14371,1.4129,0.08600097418412081,8.182790756225586,0.7634509801864624,0.7517661388550548,0.7602798976058925,0.7389216479967445,0.7414159656650948,0.5985383678440925,0.6308548259672917,0.5985383678440925,0.572120646717002,0.0144,6954,1256,5336,2874,0.022862231358885765,0.741222620010376,772,0,3,20,61,40,2,0,0,5,9,3,442,141,3,21,38,0,0,0,0,0,2,139,443,0,17,33,0,0,0,0,0,2,0,0,626,15,4,1,9,7,0,82,1,1,3,12,1271,507,0,0,0,15,2,5,13,2,18,489,1198,2,0,0,38,17,4,0,0,65,0,2,2523,47,4,69,164,0,0,0,125,0,0,13,1778,61,0,3,0,0,0,93,0,0,94,167,1619,0,3,18,2,10,2,497,113,0,0,0,761,21,2,0,0,82,150,321,51,0,1,110,911,17.4562,940.64,29.445
8.0,16424,1.4716,0.08400097418412081,4.255155563354492,0.7762141823768616,0.7573081607795371,0.7603440318643475,0.7443966446828983,0.7445769128007121,0.521741778319123,0.5252413710357444,0.521741778319123,0.5045695248798435,0.019600000000000003,2755,5455,2398,5812,0.019455548375844955,0.7561880946159363,786,0,14,10,39,50,1,0,0,3,9,1,364,243,0,20,19,0,0,0,1,0,2,85,512,0,5,30,0,0,0,0,0,2,0,0,623,20,8,1,6,12,0,74,1,6,17,7,1178,574,0,0,0,20,9,8,9,11,5,342,1310,4,0,0,71,22,10,0,0,70,0,5,2523,65,8,55,142,0,0,4,45,0,0,17,1745,168,0,1,0,0,0,57,0,0,81,183,1653,0,2,24,2,11,0,399,141,1,0,0,829,17,4,0,4,66,121,331,61,0,7,122,912,17.2091,954.145,29.868
9.0,18477,1.511,0.0820009741841208,13.901537895202637,0.7466963529586792,0.7299634591961023,0.7375768885691251,0.722677834126146,0.7204054233312328,0.46967113276492084,0.43691445072563395,0.4696711327649208,0.39055929300776676,0.0256,6814,1396,7312,898,0.02311338298022747,0.7242366075515747,786,4,11,15,29,52,3,0,0,8,4,1,398,225,0,9,15,0,0,0,0,0,1,122,483,0,3,25,0,0,0,0,0,0,0,0,588,34,4,0,0,11,0,109,5,9,20,9,1279,474,0,0,0,15,1,13,11,7,20,476,1222,3,0,0,12,18,22,0,0,108,0,41,2311,48,23,66,259,0,0,0,94,0,0,12,1559,309,0,6,0,0,0,105,0,0,73,68,1725,0,5,20,4,10,0,481,170,0,0,0,729,10,9,1,3,55,167,386,30,0,8,63,906,17.5028,938.133,29.367
10.0,20530,1.5815,0.0800009741841208,5.693668842315674,0.7246780395507812,0.738733252131547,0.7342782763321849,0.7314660576354313,0.7263207114564202,0.5734470158343483,0.5772253947680979,0.5734470158343483,0.5681649566242748,0.0324,5616,2594,4410,3800,0.017540141940116882,0.7073174715042114,813,4,6,25,15,38,4,0,0,3,4,1,393,227,6,3,17,0,0,0,1,0,1,117,491,5,1,19,0,0,0,0,0,1,0,0,610,8,2,1,3,9,0,112,2,19,9,13,1242,494,0,0,0,21,12,25,9,6,24,434,1213,3,0,0,45,23,16,0,0,71,0,6,2465,30,11,142,137,0,0,0,88,0,0,30,1519,337,0,6,0,0,0,95,0,0,154,49,1674,0,4,37,8,6,0,452,124,0,0,0,781,16,17,2,2,84,119,295,34,0,11,135,929,17.4237,942.392,29.5
