epoch,step,train_loss,learning_rate,grad_norm,eval_loss,eval_accuracy_branch1,eval_precision_branch1,eval_recall_branch1,eval_f1_branch1,eval_accuracy_branch2,eval_precision_branch2,eval_recall_branch2,eval_f1_branch2,eval_lambda,eval_tn_branch2,eval_fp_branch2,eval_fn_branch2,eval_tp_branch2,eval_loss_branch1,eval_loss_branch2,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,2053,6.3853,0.0980009741841208,137.92791748046875,5.388590335845947,0.9985383678440926,0.9973518470258184,0.9980091007746036,0.9976789389083579,0.5,0.25,0.5,0.3333333333333333,0.0,0,8210,0,8210,0.004852541722357273,5.374566078186035,15.6201,1051.208,32.906
2.0,4106,5.9463,0.0960009741841208,90.37036895751953,4.769711017608643,0.998721071863581,0.9978774727992286,0.9976169209098041,0.9977319669088751,0.5,0.25,0.5,0.3333333333333333,0.02,8210,0,8210,0,0.004329616203904152,4.773703575134277,15.653,1049.003,32.837
3.0,6159,5.6704,0.0940009741841208,116.12555694580078,5.200380802154541,0.99884287454324,0.9976992827666454,0.9977223305014076,0.9976877160022665,0.5,0.25,0.5,0.3333333333333333,0.04,0,8210,0,8210,0.004254025872796774,5.187275409698486,15.6752,1047.514,32.791
4.0,8212,5.4565,0.0920009741841208,154.65586853027344,6.079414367675781,0.9990864799025578,0.9989474158006633,0.9988500552889724,0.9988979574786875,0.5,0.25,0.5,0.3333333333333333,0.06,8210,0,8210,0,0.004207117483019829,6.085207462310791,15.7126,1045.022,32.713
5.0,10265,5.1721,0.0900009741841208,114.9592056274414,5.505253314971924,0.9990864799025578,0.9982736337845282,0.9982114373306611,0.9982291438120918,0.5,0.25,0.5,0.3333333333333333,0.08,0,8210,0,8210,0.0037679162342101336,5.492114543914795,15.7537,1042.292,32.627
6.0,12318,4.9912,0.0880009741841208,126.3395004272461,5.989902019500732,0.9990255785627283,0.9986144208643496,0.9985333464937846,0.9985687832780745,0.5,0.25,0.5,0.3333333333333333,0.1,8210,0,8210,0,0.005792184732854366,5.994071960449219,15.6767,1047.414,32.788
7.0,14371,4.8017,0.08600097418412081,87.83308410644531,3.567082643508911,0.9970767356881851,0.9966581178515522,0.9966909400700459,0.9966483517545858,0.5,0.25,0.5,0.3333333333333333,0.12,0,8210,0,8210,0.007662239484488964,3.5533599853515625,15.674,1047.592,32.793
8.0,16424,4.6823,0.08400097418412081,114.27822875976562,4.712587356567383,0.9994518879415347,0.9994403500781569,0.9993459892321053,0.9993924794846507,0.5,0.25,0.5,0.3333333333333333,0.14,0,8210,0,8210,0.005549944005906582,4.699018478393555,15.6927,1046.349,32.754
9.0,18477,4.5149,0.0820009741841208,159.1910400390625,4.278542995452881,0.99884287454324,0.9979699478773315,0.9981165071052044,0.998031473981904,0.5,0.25,0.5,0.3333333333333333,0.16,8210,0,8210,0,0.006622110493481159,4.279444694519043,15.5597,1055.291,33.034
10.0,20530,4.3649,0.0800009741841208,168.4867401123047,3.5813162326812744,0.9987819732034104,0.9980847629640972,0.9983278438457905,0.9982003561454325,0.5,0.25,0.5,0.3333333333333333,0.18,0,8210,0,8210,0.0059234886430203915,3.569305658340454,15.6545,1048.899,32.834
11.0,22583,4.2435,0.0780009741841208,113.41130828857422,4.034027099609375,0.9993909866017052,0.998781877368875,0.9988360799607179,0.9988034561055762,0.5,0.25,0.5,0.3333333333333333,0.2,8210,0,8210,0,0.004595094360411167,4.0360331535339355,15.6156,1051.514,32.916
12.0,24636,4.1549,0.0760009741841208,120.71505737304688,4.268032550811768,0.9990255785627283,0.9988081767691539,0.9988218359764687,0.9988142729529295,0.5,0.25,0.5,0.3333333333333333,0.22,0,8210,0,8210,0.007526939734816551,4.253242492675781,15.6444,1049.576,32.855
13.0,26689,3.9916,0.0740009741841208,56.568878173828125,3.4532835483551025,0.9968940316686967,0.996652001605112,0.9960401646244388,0.9963167165748872,0.5,0.25,0.5,0.3333333333333333,0.24,8210,0,8210,0,0.009041308425366879,3.450068712234497,15.5893,1053.283,32.971
14.0,28742,3.8755,0.07200097418412081,137.38705444335938,4.289114952087402,0.9989037758830694,0.9989152586783884,0.9987887805775483,0.9988497881887258,0.5,0.25,0.5,0.3333333333333333,0.26,0,8210,0,8210,0.007486339192837477,4.274331569671631,15.6643,1048.242,32.813
15.0,30795,3.7578,0.07000097418412081,92.78982543945312,3.0997440814971924,0.9961023142509136,0.9957750220169825,0.9956415313241418,0.9956821068106808,0.5,0.25,0.5,0.3333333333333333,0.28,8210,0,8210,0,0.011844953522086143,3.0932421684265137,15.6993,1045.909,32.74
16.0,32848,3.6761,0.06800097418412081,94.45426940917969,3.0820515155792236,0.9967113276492083,0.9961929436236775,0.9961740256779333,0.9961557499180582,0.5,0.25,0.5,0.3333333333333333,0.3,0,8210,0,8210,0.010574481450021267,3.066246509552002,15.6257,1050.831,32.894
17.0,34901,3.6173,0.0660009741841208,119.16825866699219,3.5931591987609863,0.9981729598051157,0.997439201569043,0.997381741580524,0.9973948262559403,0.5,0.25,0.5,0.3333333333333333,0.32,8210,0,8210,0,0.007314183283597231,3.591968297958374,15.6353,1050.188,32.874
18.0,36954,3.4738,0.0640009741841208,66.80674743652344,1.9617642164230347,0.9871498172959805,0.9828311403187687,0.9817393480819163,0.9812851361338146,0.5,0.25,0.5,0.3333333333333333,0.34,0,8210,0,8210,0.025087425485253334,1.9334194660186768,15.6115,1051.791,32.925
