epoch,step,train_loss,learning_rate,grad_norm,eval_loss,eval_accuracy_branch1,eval_precision_branch1,eval_recall_branch1,eval_f1_branch1,eval_accuracy_branch2,eval_precision_branch2,eval_recall_branch2,eval_f1_branch2,eval_lambda,eval_tn_branch2,eval_fp_branch2,eval_fn_branch2,eval_tp_branch2,eval_loss_branch1,eval_loss_branch2,eval_cm_branch1_actual0_pred0,eval_cm_branch1_actual0_pred1,eval_cm_branch1_actual0_pred2,eval_cm_branch1_actual0_pred3,eval_cm_branch1_actual0_pred4,eval_cm_branch1_actual0_pred5,eval_cm_branch1_actual0_pred6,eval_cm_branch1_actual0_pred7,eval_cm_branch1_actual0_pred8,eval_cm_branch1_actual0_pred9,eval_cm_branch1_actual0_pred10,eval_cm_branch1_actual1_pred0,eval_cm_branch1_actual1_pred1,eval_cm_branch1_actual1_pred2,eval_cm_branch1_actual1_pred3,eval_cm_branch1_actual1_pred4,eval_cm_branch1_actual1_pred5,eval_cm_branch1_actual1_pred6,eval_cm_branch1_actual1_pred7,eval_cm_branch1_actual1_pred8,eval_cm_branch1_actual1_pred9,eval_cm_branch1_actual1_pred10,eval_cm_branch1_actual2_pred0,eval_cm_branch1_actual2_pred1,eval_cm_branch1_actual2_pred2,eval_cm_branch1_actual2_pred3,eval_cm_branch1_actual2_pred4,eval_cm_branch1_actual2_pred5,eval_cm_branch1_actual2_pred6,eval_cm_branch1_actual2_pred7,eval_cm_branch1_actual2_pred8,eval_cm_branch1_actual2_pred9,eval_cm_branch1_actual2_pred10,eval_cm_branch1_actual3_pred0,eval_cm_branch1_actual3_pred1,eval_cm_branch1_actual3_pred2,eval_cm_branch1_actual3_pred3,eval_cm_branch1_actual3_pred4,eval_cm_branch1_actual3_pred5,eval_cm_branch1_actual3_pred6,eval_cm_branch1_actual3_pred7,eval_cm_branch1_actual3_pred8,eval_cm_branch1_actual3_pred9,eval_cm_branch1_actual3_pred10,eval_cm_branch1_actual4_pred0,eval_cm_branch1_actual4_pred1,eval_cm_branch1_actual4_pred2,eval_cm_branch1_actual4_pred3,eval_cm_branch1_actual4_pred4,eval_cm_branch1_actual4_pred5,eval_cm_branch1_actual4_pred6,eval_cm_branch1_actual4_pred7,eval_cm_branch1_actual4_pred8,eval_cm_branch1_actual4_pred9,eval_cm_branch1_actual4_pred10,eval_cm_branch1_actual5_pred0,eval_cm_branch1_actual5_pred1,eval_cm_branch1_actual5_pred2,eval_cm_branch1_actual5_pred3,eval_cm_branch1_actual5_pred4,eval_cm_branch1_actual5_pred5,eval_cm_branch1_actual5_pred6,eval_cm_branch1_actual5_pred7,eval_cm_branch1_actual5_pred8,eval_cm_branch1_actual5_pred9,eval_cm_branch1_actual5_pred10,eval_cm_branch1_actual6_pred0,eval_cm_branch1_actual6_pred1,eval_cm_branch1_actual6_pred2,eval_cm_branch1_actual6_pred3,eval_cm_branch1_actual6_pred4,eval_cm_branch1_actual6_pred5,eval_cm_branch1_actual6_pred6,eval_cm_branch1_actual6_pred7,eval_cm_branch1_actual6_pred8,eval_cm_branch1_actual6_pred9,eval_cm_branch1_actual6_pred10,eval_cm_branch1_actual7_pred0,eval_cm_branch1_actual7_pred1,eval_cm_branch1_actual7_pred2,eval_cm_branch1_actual7_pred3,eval_cm_branch1_actual7_pred4,eval_cm_branch1_actual7_pred5,eval_cm_branch1_actual7_pred6,eval_cm_branch1_actual7_pred7,eval_cm_branch1_actual7_pred8,eval_cm_branch1_actual7_pred9,eval_cm_branch1_actual7_pred10,eval_cm_branch1_actual8_pred0,eval_cm_branch1_actual8_pred1,eval_cm_branch1_actual8_pred2,eval_cm_branch1_actual8_pred3,eval_cm_branch1_actual8_pred4,eval_cm_branch1_actual8_pred5,eval_cm_branch1_actual8_pred6,eval_cm_branch1_actual8_pred7,eval_cm_branch1_actual8_pred8,eval_cm_branch1_actual8_pred9,eval_cm_branch1_actual8_pred10,eval_cm_branch1_actual9_pred0,eval_cm_branch1_actual9_pred1,eval_cm_branch1_actual9_pred2,eval_cm_branch1_actual9_pred3,eval_cm_branch1_actual9_pred4,eval_cm_branch1_actual9_pred5,eval_cm_branch1_actual9_pred6,eval_cm_branch1_actual9_pred7,eval_cm_branch1_actual9_pred8,eval_cm_branch1_actual9_pred9,eval_cm_branch1_actual9_pred10,eval_cm_branch1_actual10_pred0,eval_cm_branch1_actual10_pred1,eval_cm_branch1_actual10_pred2,eval_cm_branch1_actual10_pred3,eval_cm_branch1_actual10_pred4,eval_cm_branch1_actual10_pred5,eval_cm_branch1_actual10_pred6,eval_cm_branch1_actual10_pred7,eval_cm_branch1_actual10_pred8,eval_cm_branch1_actual10_pred9,eval_cm_branch1_actual10_pred10,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,2053,1.4411,0.0980009741841208,4.956445217132568,0.9839571714401245,0.6290499390986601,0.5990252809162073,0.6067115409585973,0.573023947731694,0.5772228989037759,0.5775411849559429,0.5772228989037759,0.5767886061990619,0.0,5002,3208,3734,4476,0.315916508436203,0.667596697807312,762,0,19,9,79,8,13,1,4,9,6,2,0,560,21,56,11,0,0,0,0,0,15,0,542,20,39,6,0,0,10,0,0,0,0,0,572,0,1,4,60,55,0,54,39,0,29,16,1446,222,0,3,0,10,47,46,5,58,25,1044,484,0,2,5,1,110,0,0,0,55,3,0,2295,6,23,201,295,0,0,0,36,0,0,43,891,988,0,24,0,0,0,9,0,0,77,36,1839,0,15,2,0,3,0,641,60,19,0,0,513,186,11,0,4,83,322,118,69,3,0,35,985,16.4373,998.946,31.27
2.0,4106,1.289,0.0960009741841208,3.866300106048584,0.7934265732765198,0.7059683313032886,0.7043048021610612,0.6880475821102349,0.6902915552796473,0.623142509135201,0.7301390742255638,0.623142509135201,0.5735795139740424,0.0004,2317,5893,295,7915,0.12318344414234161,0.6697014570236206,829,1,4,5,12,29,13,2,1,11,3,2,401,92,0,11,144,0,0,0,0,0,2,275,301,0,1,53,0,0,0,0,0,0,0,0,535,0,0,1,116,3,0,91,48,1,12,4,1036,550,0,2,0,41,118,54,1,27,16,378,1148,3,0,0,49,104,2,0,0,48,0,5,2263,57,26,94,383,0,0,0,87,0,0,24,1350,505,0,16,0,0,0,7,1,0,66,97,1800,4,1,3,0,0,0,340,131,3,5,0,774,168,10,0,2,49,101,107,106,19,0,81,1155,16.354,1004.037,31.43
3.0,6159,1.2952,0.0940009741841208,4.828670501708984,0.660785436630249,0.7007308160779537,0.701236462872913,0.7000852421531522,0.6899051329533314,0.7007308160779537,0.7116156239661707,0.7007308160779537,0.6968323304904033,0.0016,4822,3388,1526,6684,0.0819137692451477,0.5788357257843018,832,1,3,6,2,8,45,0,2,5,6,8,406,193,27,4,12,0,0,0,0,0,18,113,465,24,2,10,0,0,0,0,0,0,0,0,607,0,0,3,90,10,0,36,144,16,7,24,999,476,3,0,0,34,109,134,17,10,34,369,1104,15,0,4,23,70,3,0,0,51,0,8,2539,42,29,16,190,0,0,0,122,0,0,95,1135,617,0,13,0,0,0,71,0,0,221,22,1662,0,0,37,2,1,0,378,157,17,2,0,757,73,34,0,0,81,96,139,216,2,5,57,1000,16.6277,987.511,30.912
4.0,8212,1.332,0.0920009741841208,6.55629301071167,0.6148272156715393,0.7164433617539586,0.7238047010248859,0.7107503268083573,0.709756904248422,0.7024360535931791,0.7174903767224272,0.7024360535931791,0.6971961586830461,0.0036,6847,1363,3523,4687,0.049897585064172745,0.565527081489563,781,0,1,10,40,56,11,0,0,10,1,1,375,225,0,22,25,0,0,0,2,0,0,87,489,0,14,42,0,0,0,0,0,1,1,1,565,19,8,0,80,0,0,71,2,15,4,4,1235,497,0,0,0,37,18,5,19,8,12,417,1246,0,0,0,51,22,11,0,0,113,0,27,2273,64,8,45,337,1,0,0,134,0,1,28,1434,356,0,28,0,0,0,145,4,0,48,115,1663,1,0,1,2,0,0,388,218,0,0,0,797,18,6,3,0,60,179,245,84,6,0,141,906,16.4653,997.247,31.217
5.0,10265,1.3749,0.0900009741841208,4.367926597595215,0.5980432629585266,0.728380024360536,0.7254708207239592,0.7255466298742301,0.7193381404682049,0.7118148599269184,0.7119960205801341,0.7118148599269184,0.711753279803887,0.0064,5724,2486,2246,5964,0.034085214138031006,0.5641229152679443,848,1,1,14,13,12,7,0,0,8,6,4,423,184,10,19,7,0,0,0,3,0,9,128,461,4,4,26,0,0,0,0,0,0,0,0,583,6,2,1,114,7,0,33,35,6,22,12,1268,443,0,0,0,14,12,45,9,10,24,456,1195,2,0,0,16,23,10,0,0,70,0,7,2344,77,21,96,253,0,0,0,121,0,1,28,1457,361,0,14,0,0,0,130,0,0,64,137,1645,0,0,9,8,5,0,461,135,0,0,0,780,26,19,1,2,71,159,224,77,7,5,109,956,16.2489,1010.533,31.633
6.0,12318,1.4296,0.0880009741841208,6.38633394241333,0.6629534959793091,0.7208891595615103,0.7208951418446438,0.7192846013558293,0.7132111822135936,0.6278928136419001,0.6350498182729665,0.6278928136419002,0.6228966378907573,0.010000000000000002,6100,2110,4000,4210,0.02449154481291771,0.6386958360671997,836,2,3,13,8,30,9,0,0,7,2,1,409,204,19,9,8,0,0,0,0,0,1,114,484,18,1,14,0,0,0,0,0,0,0,0,574,10,6,1,84,1,0,70,27,4,14,14,1233,488,0,0,0,15,17,41,6,7,29,432,1219,0,0,0,22,24,18,0,0,52,0,7,2382,83,23,115,198,1,0,0,114,3,0,64,1297,486,0,17,0,0,0,120,0,0,146,53,1657,0,0,21,9,2,1,420,150,0,0,0,810,11,42,0,0,67,128,240,89,2,3,123,936,16.337,1005.078,31.462
7.0,14371,1.5159,0.08600097418412081,7.771953105926514,0.7600269317626953,0.7213154689403167,0.7300946333568388,0.7195777463309319,0.7176352443798685,0.5984774665042631,0.6299218981252884,0.5984774665042631,0.5726181225125356,0.0144,6933,1277,5316,2894,0.018479380756616592,0.7420447468757629,810,1,1,15,16,46,7,0,0,10,4,1,419,193,19,10,8,0,0,0,0,0,5,124,471,13,3,16,0,0,0,0,0,0,0,0,591,12,1,0,110,7,0,25,8,0,1,16,1223,527,0,0,0,16,21,11,8,5,27,487,1192,1,0,0,29,20,1,0,0,94,0,14,2356,67,15,92,239,2,0,0,116,0,0,42,1360,455,0,7,0,0,0,130,0,0,86,114,1646,0,0,5,6,3,0,366,226,0,1,0,802,15,5,0,0,74,108,271,90,5,4,99,974,16.3135,1006.53,31.508
8.0,16424,1.5759,0.08400097418412081,4.628772735595703,0.7242729067802429,0.728380024360536,0.7377033602398506,0.7221486568733484,0.7203938074894084,0.5531668696711327,0.599208799535779,0.5531668696711328,0.4945196221091569,0.019600000000000003,1745,6465,872,7338,0.01603570021688938,0.7077344059944153,813,1,1,17,27,33,4,0,0,13,1,0,349,264,16,15,4,0,0,0,2,0,3,53,547,10,3,16,0,0,0,0,0,0,0,0,545,14,7,0,89,4,0,87,2,0,5,9,1203,551,0,0,0,20,22,18,0,8,19,386,1276,1,0,0,54,18,12,0,0,64,0,15,2370,79,13,87,238,2,0,0,117,0,0,36,1475,345,0,7,0,0,0,124,0,0,69,129,1654,0,0,5,2,1,0,311,283,1,0,0,807,14,11,1,1,50,102,312,94,8,1,129,921,16.3221,1006.001,31.491
9.0,18477,1.6178,0.0820009741841208,9.072308540344238,0.7496271133422852,0.7244823386114495,0.7280592534665767,0.724897099128589,0.7202403286418858,0.5048721071863581,0.5244873684251341,0.5048721071863581,0.38088971610933914,0.0256,7819,391,7739,471,0.015325004234910011,0.7346412539482117,816,1,3,16,9,25,15,0,0,22,3,1,466,147,18,12,3,0,0,0,3,0,4,142,459,13,3,11,0,0,0,0,0,0,0,1,565,19,5,0,100,4,0,52,19,4,5,14,1306,422,0,0,0,40,2,28,8,6,24,426,1216,0,0,0,61,11,3,0,0,99,0,45,2208,75,16,84,348,0,0,0,132,0,0,25,1656,157,0,12,0,0,0,145,0,0,81,211,1539,0,0,8,4,2,0,444,180,0,0,0,785,1,15,0,0,63,143,320,77,5,3,124,880,16.2301,1011.703,31.67
10.0,20530,1.6785,0.0800009741841208,7.899183750152588,1.0864251852035522,0.7327649208282582,0.7350028291947432,0.731377620321248,0.7264310453438608,0.5,0.25,0.5,0.3333333333333333,0.0324,0,8210,0,8210,0.014598141424357891,1.0703095197677612,847,1,4,12,9,21,9,0,0,7,0,1,396,221,16,11,3,0,0,0,2,0,0,87,523,14,2,6,0,0,0,0,0,1,0,0,577,10,5,0,82,4,0,67,24,5,11,15,1266,470,0,0,0,14,7,37,4,11,27,416,1225,0,0,0,40,20,16,0,0,55,0,20,2399,51,11,134,192,1,0,0,71,0,0,68,1397,439,0,6,0,0,0,63,0,0,137,104,1671,0,1,37,4,3,0,379,191,0,0,0,803,7,36,1,0,55,93,297,105,3,7,105,928,16.4795,996.387,31.19
