epoch,step,train_loss,learning_rate,grad_norm,eval_loss,eval_accuracy_branch1,eval_precision_branch1,eval_recall_branch1,eval_f1_branch1,eval_accuracy_branch2,eval_precision_branch2,eval_recall_branch2,eval_f1_branch2,eval_lambda,eval_tn_branch2,eval_fp_branch2,eval_fn_branch2,eval_tp_branch2,eval_loss_branch1,eval_loss_branch2,eval_cm_branch1_actual0_pred0,eval_cm_branch1_actual0_pred1,eval_cm_branch1_actual0_pred2,eval_cm_branch1_actual0_pred3,eval_cm_branch1_actual0_pred4,eval_cm_branch1_actual0_pred5,eval_cm_branch1_actual0_pred6,eval_cm_branch1_actual0_pred7,eval_cm_branch1_actual0_pred8,eval_cm_branch1_actual0_pred9,eval_cm_branch1_actual0_pred10,eval_cm_branch1_actual1_pred0,eval_cm_branch1_actual1_pred1,eval_cm_branch1_actual1_pred2,eval_cm_branch1_actual1_pred3,eval_cm_branch1_actual1_pred4,eval_cm_branch1_actual1_pred5,eval_cm_branch1_actual1_pred6,eval_cm_branch1_actual1_pred7,eval_cm_branch1_actual1_pred8,eval_cm_branch1_actual1_pred9,eval_cm_branch1_actual1_pred10,eval_cm_branch1_actual2_pred0,eval_cm_branch1_actual2_pred1,eval_cm_branch1_actual2_pred2,eval_cm_branch1_actual2_pred3,eval_cm_branch1_actual2_pred4,eval_cm_branch1_actual2_pred5,eval_cm_branch1_actual2_pred6,eval_cm_branch1_actual2_pred7,eval_cm_branch1_actual2_pred8,eval_cm_branch1_actual2_pred9,eval_cm_branch1_actual2_pred10,eval_cm_branch1_actual3_pred0,eval_cm_branch1_actual3_pred1,eval_cm_branch1_actual3_pred2,eval_cm_branch1_actual3_pred3,eval_cm_branch1_actual3_pred4,eval_cm_branch1_actual3_pred5,eval_cm_branch1_actual3_pred6,eval_cm_branch1_actual3_pred7,eval_cm_branch1_actual3_pred8,eval_cm_branch1_actual3_pred9,eval_cm_branch1_actual3_pred10,eval_cm_branch1_actual4_pred0,eval_cm_branch1_actual4_pred1,eval_cm_branch1_actual4_pred2,eval_cm_branch1_actual4_pred3,eval_cm_branch1_actual4_pred4,eval_cm_branch1_actual4_pred5,eval_cm_branch1_actual4_pred6,eval_cm_branch1_actual4_pred7,eval_cm_branch1_actual4_pred8,eval_cm_branch1_actual4_pred9,eval_cm_branch1_actual4_pred10,eval_cm_branch1_actual5_pred0,eval_cm_branch1_actual5_pred1,eval_cm_branch1_actual5_pred2,eval_cm_branch1_actual5_pred3,eval_cm_branch1_actual5_pred4,eval_cm_branch1_actual5_pred5,eval_cm_branch1_actual5_pred6,eval_cm_branch1_actual5_pred7,eval_cm_branch1_actual5_pred8,eval_cm_branch1_actual5_pred9,eval_cm_branch1_actual5_pred10,eval_cm_branch1_actual6_pred0,eval_cm_branch1_actual6_pred1,eval_cm_branch1_actual6_pred2,eval_cm_branch1_actual6_pred3,eval_cm_branch1_actual6_pred4,eval_cm_branch1_actual6_pred5,eval_cm_branch1_actual6_pred6,eval_cm_branch1_actual6_pred7,eval_cm_branch1_actual6_pred8,eval_cm_branch1_actual6_pred9,eval_cm_branch1_actual6_pred10,eval_cm_branch1_actual7_pred0,eval_cm_branch1_actual7_pred1,eval_cm_branch1_actual7_pred2,eval_cm_branch1_actual7_pred3,eval_cm_branch1_actual7_pred4,eval_cm_branch1_actual7_pred5,eval_cm_branch1_actual7_pred6,eval_cm_branch1_actual7_pred7,eval_cm_branch1_actual7_pred8,eval_cm_branch1_actual7_pred9,eval_cm_branch1_actual7_pred10,eval_cm_branch1_actual8_pred0,eval_cm_branch1_actual8_pred1,eval_cm_branch1_actual8_pred2,eval_cm_branch1_actual8_pred3,eval_cm_branch1_actual8_pred4,eval_cm_branch1_actual8_pred5,eval_cm_branch1_actual8_pred6,eval_cm_branch1_actual8_pred7,eval_cm_branch1_actual8_pred8,eval_cm_branch1_actual8_pred9,eval_cm_branch1_actual8_pred10,eval_cm_branch1_actual9_pred0,eval_cm_branch1_actual9_pred1,eval_cm_branch1_actual9_pred2,eval_cm_branch1_actual9_pred3,eval_cm_branch1_actual9_pred4,eval_cm_branch1_actual9_pred5,eval_cm_branch1_actual9_pred6,eval_cm_branch1_actual9_pred7,eval_cm_branch1_actual9_pred8,eval_cm_branch1_actual9_pred9,eval_cm_branch1_actual9_pred10,eval_cm_branch1_actual10_pred0,eval_cm_branch1_actual10_pred1,eval_cm_branch1_actual10_pred2,eval_cm_branch1_actual10_pred3,eval_cm_branch1_actual10_pred4,eval_cm_branch1_actual10_pred5,eval_cm_branch1_actual10_pred6,eval_cm_branch1_actual10_pred7,eval_cm_branch1_actual10_pred8,eval_cm_branch1_actual10_pred9,eval_cm_branch1_actual10_pred10,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,2053,1.4184,0.0980009741841208,2.8062362670898438,0.6168456077575684,0.656638246041413,0.6269251196295895,0.5784725858005101,0.5732134936975847,0.8302070645554203,0.8492271607174451,0.8302070645554203,0.8278632770498888,0.0,5858,2352,436,7774,0.2546314001083374,0.36198335886001587,462,0,1,1,122,2,65,0,1,200,58,5,0,272,0,98,6,85,44,11,20,107,9,0,290,9,51,6,46,57,4,41,121,0,0,0,497,1,14,186,0,22,6,20,15,0,9,5,1149,35,58,1,0,175,365,20,0,36,3,725,280,92,5,3,224,394,1,0,0,3,1,0,2832,0,9,24,8,0,0,0,0,0,0,11,1568,288,0,113,0,0,0,26,2,0,158,2,1774,0,14,6,0,0,0,77,3,332,0,0,938,68,12,0,0,7,206,28,188,5,13,177,992,16.3389,1004.962,31.459
2.0,4106,0.9463,0.0960009741841208,6.495390892028809,0.6195377707481384,0.76394640682095,0.7938745117480989,0.7057808470480481,0.7225668975495751,0.8026796589524969,0.8173290891409194,0.8026796589524969,0.8003757562192974,0.0004,5708,2502,738,7472,0.1495998650789261,0.4694999158382416,639,1,0,0,80,51,37,0,5,78,21,12,299,4,0,17,47,202,8,17,32,10,19,145,155,0,17,69,114,30,21,63,1,0,0,0,615,2,61,47,0,2,7,12,17,0,0,0,1069,370,21,11,17,163,144,22,3,0,0,137,1235,106,11,21,198,49,0,0,0,9,0,9,2787,0,4,54,15,38,0,0,5,23,4,13,1731,26,7,133,5,0,0,33,4,68,308,3,1547,0,8,0,0,0,0,21,11,95,0,3,1236,58,4,0,0,3,88,104,39,12,18,129,1231,16.2427,1010.916,31.645
3.0,6159,0.8563,0.0940009741841208,5.6418023109436035,0.534463107585907,0.8730816077953715,0.8709109262915053,0.8413377221565262,0.8493726701885166,0.7750304506699147,0.7935473912444236,0.7750304506699148,0.7714258418143831,0.0016,5332,2878,816,7394,0.056964218616485596,0.47767528891563416,774,0,1,2,22,21,30,0,7,27,28,35,486,3,0,10,21,55,15,7,4,12,11,144,347,3,37,20,6,46,11,1,8,0,0,0,727,8,2,5,1,0,0,3,48,8,0,1,1298,207,13,27,14,35,161,48,20,1,5,125,1377,52,14,20,49,71,1,0,0,6,0,8,2841,0,3,6,13,0,0,0,0,1,0,0,1973,3,0,3,0,0,0,5,4,0,13,1,1953,0,0,9,1,0,0,38,9,81,3,1,1144,138,5,3,1,15,53,40,35,25,17,18,1416,16.1955,1013.863,31.737
4.0,8212,0.8733,0.0920009741841208,6.929854869842529,0.6177590489387512,0.9058465286236297,0.9032600510744877,0.8862530136606167,0.893800314797219,0.6797807551766138,0.7184984523305773,0.6797807551766138,0.6649375774976096,0.0036,7309,901,4357,3853,0.039744555950164795,0.5785878896713257,759,2,0,0,40,27,10,0,4,43,27,23,535,28,0,15,13,0,10,9,4,11,5,46,496,0,37,26,1,14,7,0,2,0,1,1,721,15,4,2,1,0,0,1,21,4,1,0,1508,132,1,7,8,31,99,15,29,2,0,113,1498,11,5,13,44,52,2,0,0,1,0,14,2839,0,4,13,5,0,0,0,0,0,0,0,1970,6,0,4,0,0,0,0,0,3,7,0,1966,0,0,4,9,0,0,59,13,10,0,0,1215,114,2,6,0,5,117,66,9,14,9,33,1367,16.8005,977.352,30.594
5.0,10265,0.897,0.0900009741841208,4.226429462432861,0.6574957966804504,0.9121802679658952,0.9128829947336662,0.8991866286049384,0.9038992503023228,0.6453714981729598,0.6580701087291521,0.6453714981729598,0.6381032261550126,0.0064,6462,1748,4075,4135,0.030543817207217216,0.6275771856307983,797,1,1,1,6,16,29,0,0,37,24,42,535,13,0,7,24,3,8,1,5,10,8,18,539,0,16,30,7,6,2,0,8,0,0,0,739,3,0,2,1,0,0,1,61,2,3,1,1323,192,11,5,7,24,183,47,22,0,0,34,1552,27,3,5,27,65,1,0,0,0,0,10,2855,0,0,5,7,0,0,0,0,0,0,1,1950,26,0,3,0,0,0,0,0,2,6,0,1968,0,0,2,13,0,0,51,19,13,0,0,1206,120,3,1,0,5,35,27,24,8,2,9,1514,16.33,1005.509,31.476
6.0,12318,0.9434,0.0880009741841208,4.66886568069458,0.6823768615722656,0.9049330085261875,0.9058356199124004,0.8825547792524396,0.8911179962685167,0.6263702801461632,0.6398512009327578,0.6263702801461632,0.6171439524213149,0.010000000000000002,3868,4342,1793,6417,0.02728215791285038,0.6549760699272156,697,1,0,0,80,17,2,0,3,32,80,14,557,3,0,16,14,6,7,1,10,20,9,88,459,0,36,18,2,4,7,2,9,0,0,0,729,9,3,2,0,0,2,1,13,4,1,0,1526,127,2,2,6,27,104,17,25,3,0,86,1528,15,0,9,44,55,0,0,0,2,0,16,2794,0,3,30,33,0,0,0,0,0,0,0,1967,10,0,3,0,0,0,0,0,2,6,0,1968,0,0,0,4,0,0,54,12,9,0,0,1197,148,1,5,0,3,76,70,2,4,2,28,1437,16.5068,994.739,31.139
7.0,14371,0.9857,0.08600097418412081,8.38024616241455,0.8144346475601196,0.9208891595615104,0.9201171050401658,0.9021969948444137,0.909857193186096,0.5236297198538368,0.553797522653704,0.5236297198538368,0.4459577548117644,0.0144,7373,837,6985,1225,0.0185012798756361,0.7962908744812012,705,0,0,0,30,24,21,2,1,73,56,27,546,13,0,8,23,2,3,0,10,16,6,20,529,0,27,32,5,3,3,0,9,0,1,2,738,4,1,0,0,0,0,0,17,6,2,0,1471,149,2,8,6,21,130,21,22,2,0,58,1592,13,1,4,18,51,1,0,0,0,0,6,2868,0,1,1,1,0,0,0,0,0,0,0,1980,0,0,0,0,0,0,0,0,2,4,0,1970,0,0,1,8,0,0,18,10,17,0,0,1298,72,0,6,0,11,76,65,15,13,1,17,1424,16.1771,1015.018,31.773
8.0,16424,1.0445,0.08400097418412081,8.220314025878906,0.9061625003814697,0.9202801461632156,0.9203174866159323,0.9030748710090677,0.9105370311971138,0.5365408038976858,0.5690648324452955,0.5365408038976858,0.47469682787781947,0.019600000000000003,1588,6622,988,7222,0.014589937403798103,0.8909758925437927,729,0,0,0,18,45,14,0,3,39,64,20,558,5,0,11,27,2,4,0,6,15,4,18,519,0,45,30,4,4,1,0,9,0,0,1,735,9,1,0,0,0,0,0,48,4,2,2,1471,124,3,7,10,27,114,37,15,2,0,65,1561,16,1,8,35,42,1,0,0,0,0,7,2863,0,4,0,3,0,0,0,0,0,0,0,1951,29,0,0,0,0,0,0,0,2,7,0,1967,0,0,14,6,0,0,26,6,22,3,0,1280,67,6,3,0,5,42,32,23,17,2,21,1477,16.5483,992.248,31.061
9.0,18477,1.0883,0.0820009741841208,11.050030708312988,0.8771877288818359,0.9190012180267966,0.9226342533191617,0.9040446561863523,0.9121684912933514,0.45907429963459195,0.3959852891670498,0.459074299634592,0.36239049270529045,0.0256,6966,1244,7638,572,0.015212002210319042,0.8619553446769714,777,0,0,0,10,28,13,1,4,52,27,28,548,12,0,4,27,4,2,0,6,17,7,9,533,0,38,31,4,2,3,0,7,0,0,0,732,12,1,1,0,0,0,0,30,1,2,1,1466,140,7,8,14,16,127,35,13,2,0,81,1565,19,0,7,16,44,1,0,0,0,0,15,2860,0,2,0,0,0,0,0,0,0,0,0,1933,47,0,0,0,0,0,0,0,1,5,0,1970,0,0,13,4,0,0,29,27,42,0,0,1233,76,6,2,0,3,47,42,30,14,9,2,1473,16.1802,1014.824,31.767
10.0,20530,1.0866,0.0800009741841208,9.7819242477417,0.9967753291130066,0.9275883069427527,0.9306052471563195,0.9088001753004047,0.9180821660025228,0.5,0.25,0.5,0.3333333333333333,0.0324,0,8210,0,8210,0.011068576015532017,0.9844095706939697,712,0,0,0,22,46,17,1,2,41,71,13,565,11,0,14,14,0,2,0,8,21,2,17,514,0,54,33,2,2,0,0,10,0,0,0,728,16,1,0,0,0,0,1,19,2,1,0,1559,89,5,2,3,20,112,19,13,1,0,92,1565,8,0,3,38,43,0,0,0,2,0,10,2852,0,1,7,6,0,0,0,0,0,0,0,1950,29,0,1,0,0,0,0,0,2,6,0,1967,0,1,0,5,0,0,35,8,6,0,0,1320,50,4,2,0,1,48,37,12,6,2,17,1499,16.4022,1001.082,31.337
