epoch,step,train_loss,learning_rate,grad_norm,eval_loss,eval_accuracy_branch1,eval_precision_branch1,eval_recall_branch1,eval_f1_branch1,eval_accuracy_branch2,eval_precision_branch2,eval_recall_branch2,eval_f1_branch2,eval_lambda,eval_tn_branch2,eval_fp_branch2,eval_fn_branch2,eval_tp_branch2,eval_loss_branch1,eval_loss_branch2,eval_cm_branch1_actual0_pred0,eval_cm_branch1_actual0_pred1,eval_cm_branch1_actual0_pred2,eval_cm_branch1_actual0_pred3,eval_cm_branch1_actual0_pred4,eval_cm_branch1_actual0_pred5,eval_cm_branch1_actual0_pred6,eval_cm_branch1_actual0_pred7,eval_cm_branch1_actual0_pred8,eval_cm_branch1_actual0_pred9,eval_cm_branch1_actual0_pred10,eval_cm_branch1_actual1_pred0,eval_cm_branch1_actual1_pred1,eval_cm_branch1_actual1_pred2,eval_cm_branch1_actual1_pred3,eval_cm_branch1_actual1_pred4,eval_cm_branch1_actual1_pred5,eval_cm_branch1_actual1_pred6,eval_cm_branch1_actual1_pred7,eval_cm_branch1_actual1_pred8,eval_cm_branch1_actual1_pred9,eval_cm_branch1_actual1_pred10,eval_cm_branch1_actual2_pred0,eval_cm_branch1_actual2_pred1,eval_cm_branch1_actual2_pred2,eval_cm_branch1_actual2_pred3,eval_cm_branch1_actual2_pred4,eval_cm_branch1_actual2_pred5,eval_cm_branch1_actual2_pred6,eval_cm_branch1_actual2_pred7,eval_cm_branch1_actual2_pred8,eval_cm_branch1_actual2_pred9,eval_cm_branch1_actual2_pred10,eval_cm_branch1_actual3_pred0,eval_cm_branch1_actual3_pred1,eval_cm_branch1_actual3_pred2,eval_cm_branch1_actual3_pred3,eval_cm_branch1_actual3_pred4,eval_cm_branch1_actual3_pred5,eval_cm_branch1_actual3_pred6,eval_cm_branch1_actual3_pred7,eval_cm_branch1_actual3_pred8,eval_cm_branch1_actual3_pred9,eval_cm_branch1_actual3_pred10,eval_cm_branch1_actual4_pred0,eval_cm_branch1_actual4_pred1,eval_cm_branch1_actual4_pred2,eval_cm_branch1_actual4_pred3,eval_cm_branch1_actual4_pred4,eval_cm_branch1_actual4_pred5,eval_cm_branch1_actual4_pred6,eval_cm_branch1_actual4_pred7,eval_cm_branch1_actual4_pred8,eval_cm_branch1_actual4_pred9,eval_cm_branch1_actual4_pred10,eval_cm_branch1_actual5_pred0,eval_cm_branch1_actual5_pred1,eval_cm_branch1_actual5_pred2,eval_cm_branch1_actual5_pred3,eval_cm_branch1_actual5_pred4,eval_cm_branch1_actual5_pred5,eval_cm_branch1_actual5_pred6,eval_cm_branch1_actual5_pred7,eval_cm_branch1_actual5_pred8,eval_cm_branch1_actual5_pred9,eval_cm_branch1_actual5_pred10,eval_cm_branch1_actual6_pred0,eval_cm_branch1_actual6_pred1,eval_cm_branch1_actual6_pred2,eval_cm_branch1_actual6_pred3,eval_cm_branch1_actual6_pred4,eval_cm_branch1_actual6_pred5,eval_cm_branch1_actual6_pred6,eval_cm_branch1_actual6_pred7,eval_cm_branch1_actual6_pred8,eval_cm_branch1_actual6_pred9,eval_cm_branch1_actual6_pred10,eval_cm_branch1_actual7_pred0,eval_cm_branch1_actual7_pred1,eval_cm_branch1_actual7_pred2,eval_cm_branch1_actual7_pred3,eval_cm_branch1_actual7_pred4,eval_cm_branch1_actual7_pred5,eval_cm_branch1_actual7_pred6,eval_cm_branch1_actual7_pred7,eval_cm_branch1_actual7_pred8,eval_cm_branch1_actual7_pred9,eval_cm_branch1_actual7_pred10,eval_cm_branch1_actual8_pred0,eval_cm_branch1_actual8_pred1,eval_cm_branch1_actual8_pred2,eval_cm_branch1_actual8_pred3,eval_cm_branch1_actual8_pred4,eval_cm_branch1_actual8_pred5,eval_cm_branch1_actual8_pred6,eval_cm_branch1_actual8_pred7,eval_cm_branch1_actual8_pred8,eval_cm_branch1_actual8_pred9,eval_cm_branch1_actual8_pred10,eval_cm_branch1_actual9_pred0,eval_cm_branch1_actual9_pred1,eval_cm_branch1_actual9_pred2,eval_cm_branch1_actual9_pred3,eval_cm_branch1_actual9_pred4,eval_cm_branch1_actual9_pred5,eval_cm_branch1_actual9_pred6,eval_cm_branch1_actual9_pred7,eval_cm_branch1_actual9_pred8,eval_cm_branch1_actual9_pred9,eval_cm_branch1_actual9_pred10,eval_cm_branch1_actual10_pred0,eval_cm_branch1_actual10_pred1,eval_cm_branch1_actual10_pred2,eval_cm_branch1_actual10_pred3,eval_cm_branch1_actual10_pred4,eval_cm_branch1_actual10_pred5,eval_cm_branch1_actual10_pred6,eval_cm_branch1_actual10_pred7,eval_cm_branch1_actual10_pred8,eval_cm_branch1_actual10_pred9,eval_cm_branch1_actual10_pred10,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,2053,1.4179,0.0980009741841208,6.624223232269287,1.012551188468933,0.659846547314578,0.5990184854178325,0.6368450316789821,0.6076090632562454,0.5161977834612106,0.7504134334929282,0.5161977834612106,0.3685454151402787,0.0,268,7943,2,8209,0.25924062728881836,0.7522702217102051,695,0,21,11,100,22,7,3,1,40,10,10,0,584,2,27,25,0,0,0,2,0,4,0,574,0,7,33,0,14,0,0,0,0,0,0,605,0,12,0,75,5,0,49,27,0,29,3,930,693,0,0,0,48,82,26,0,68,29,534,901,1,0,0,43,180,2,0,0,79,0,0,2339,36,28,282,114,0,0,0,50,0,0,31,1245,640,0,16,1,0,0,11,0,0,73,180,1701,1,7,3,0,4,0,334,136,15,0,0,777,155,12,0,1,109,127,111,36,13,0,152,1069,17.6716,929.29,29.086
2.0,4106,1.2793,0.0960009741841208,5.738255977630615,0.9757437109947205,0.6552186091828035,0.6567616420896155,0.6273218362046188,0.618582049933207,0.5442089879430033,0.6249864974345125,0.5442089879430033,0.45637398951725394,0.0004,7769,442,7043,1168,0.2876626253128052,0.6879868507385254,707,1,7,13,29,9,43,15,23,27,36,18,492,73,34,13,11,0,4,1,2,2,17,363,189,21,8,7,0,19,7,0,1,0,0,0,519,0,0,15,82,43,0,87,43,3,10,79,640,495,6,79,7,37,413,36,3,11,181,254,845,35,29,17,59,312,0,0,0,2,0,0,2616,43,115,6,98,0,0,0,21,0,0,8,1172,778,0,3,0,0,0,0,0,0,56,11,1907,0,0,6,3,0,14,109,95,101,6,8,591,491,6,0,1,121,23,43,229,78,34,13,1082,16.5695,991.1,31.021
3.0,6159,1.2704,0.0940009741841208,6.114755630493164,0.6995531916618347,0.7083790037754232,0.7268456413425425,0.698338930321426,0.6995601898041077,0.6504079892826696,0.7027849648302368,0.6504079892826695,0.6262758492049858,0.0016,7427,784,4957,3254,0.08225177973508835,0.6176123023033142,775,12,3,11,33,36,8,0,0,27,5,2,565,50,0,3,26,0,0,0,4,0,4,298,296,0,0,34,0,0,0,0,0,1,0,1,535,26,8,2,43,2,0,128,20,8,5,1,1264,415,0,0,0,66,33,16,13,6,10,617,1002,0,0,0,79,39,0,0,0,54,0,5,2437,42,30,99,213,1,0,0,40,0,0,47,1182,698,0,14,0,0,0,69,4,0,69,20,1811,0,1,5,5,2,0,403,166,0,0,0,812,31,15,3,0,35,210,235,66,1,3,108,954,16.6189,988.15,30.929
4.0,8212,1.2889,0.0920009741841208,4.34727668762207,0.5954471826553345,0.7161125319693095,0.7200134445584433,0.7119152005876018,0.704296555164333,0.7189745463402752,0.7189900106443954,0.7189745463402752,0.7189695849954725,0.0036,5869,2342,2273,5938,0.05199422687292099,0.5434013605117798,818,2,15,20,18,20,3,0,0,11,3,6,376,237,15,1,13,0,0,0,2,0,9,108,491,1,0,23,0,0,0,0,0,0,0,0,619,11,1,1,58,1,0,55,35,4,23,17,1157,547,0,0,0,25,4,28,11,36,25,444,1174,2,0,0,56,6,1,0,0,79,0,0,2506,64,9,78,143,1,0,0,104,0,0,48,1314,512,0,3,0,0,0,108,0,0,150,15,1699,2,0,15,2,15,0,253,339,0,0,0,796,4,20,0,6,93,185,324,62,1,1,128,810,16.5216,993.974,31.111
5.0,10265,1.3,0.0900009741841208,4.555570602416992,0.603251039981842,0.7312751187431494,0.7363901513769534,0.7242371356336416,0.7206589643936552,0.6882840092558763,0.6996483013341335,0.6882840092558762,0.6837841344359618,0.0064,6631,1580,3539,4672,0.02922702580690384,0.5741825103759766,796,2,5,20,41,20,5,2,1,5,13,12,372,232,20,3,8,0,0,0,3,0,10,92,496,12,0,22,0,0,0,0,0,1,0,0,622,14,0,1,72,9,0,27,17,3,3,27,1287,435,0,0,0,27,13,32,4,4,29,483,1126,5,0,0,77,22,4,0,0,28,0,0,2491,60,23,32,242,0,0,0,80,0,0,33,1299,565,0,5,0,0,0,83,0,0,93,7,1790,1,0,21,1,3,3,403,170,0,3,0,793,27,11,0,1,94,151,243,93,2,6,92,937,16.6046,989.001,30.955
6.0,12318,1.3859,0.0880009741841208,3.5116147994995117,0.6703885197639465,0.736511996102789,0.7349620211963965,0.7247626290636608,0.7255812148130402,0.6163073925222263,0.7151228038640931,0.6163073925222263,0.5665293338889632,0.010000000000000002,2278,5933,368,7843,0.031572021543979645,0.6383359432220459,813,4,2,13,41,26,2,0,0,4,5,8,474,136,0,3,28,0,0,0,1,0,6,225,358,0,1,42,0,0,0,0,0,4,0,0,585,29,7,0,60,3,0,58,15,8,1,3,1197,546,0,0,0,36,6,28,11,3,2,420,1191,1,0,0,110,16,12,0,0,26,0,7,2338,53,19,70,355,0,0,0,70,4,0,25,1625,238,0,20,0,0,0,64,0,0,68,67,1770,4,1,31,3,0,0,389,182,0,0,0,810,9,27,0,1,45,173,280,68,1,2,99,934,16.4907,995.832,31.169
7.0,14371,1.4298,0.08600097418412081,8.39462947845459,0.6761523485183716,0.746620387285349,0.7455014818507439,0.7294702015576295,0.7321336705848233,0.6217878455730118,0.6218745435827286,0.6217878455730118,0.6217205713239788,0.0144,5215,2996,3215,4996,0.027460087090730667,0.6487958431243896,727,5,13,15,91,23,2,0,0,4,30,3,402,211,1,13,17,0,0,0,3,0,0,151,446,2,9,24,0,0,0,0,0,0,0,0,623,11,10,4,45,2,0,51,0,3,7,7,1168,539,0,0,0,62,26,10,3,13,11,425,1166,4,0,0,125,25,3,0,0,13,0,0,2626,51,25,27,135,0,0,0,73,1,0,6,1439,451,0,12,0,0,0,76,0,0,50,15,1830,2,1,26,5,0,0,313,188,1,1,0,868,22,6,0,0,63,65,292,110,1,0,127,966,16.9283,970.089,30.363
8.0,16424,1.4958,0.08400097418412081,7.899082660675049,0.7195393443107605,0.721836560711241,0.7310434899215292,0.7160607459121047,0.7182384811559657,0.5596151504079893,0.5612916710210053,0.5596151504079893,0.5565829364266269,0.019600000000000003,5274,2937,4295,3916,0.01662401854991913,0.7032437920570374,768,2,5,18,26,57,4,0,0,14,16,4,438,177,6,8,8,0,0,0,9,0,3,140,447,4,3,35,0,0,0,0,0,1,0,0,608,25,2,0,45,6,0,59,12,2,0,8,1135,606,0,0,0,42,7,24,6,6,11,367,1253,1,0,0,101,13,3,0,0,33,0,1,2479,79,10,28,247,0,0,0,46,0,0,41,1391,491,0,13,0,0,0,84,0,0,219,47,1623,0,1,28,5,3,0,316,250,0,0,0,811,11,14,1,2,68,148,289,92,2,4,109,901,16.2962,1007.719,31.541
9.0,18477,1.5453,0.0820009741841208,6.685890197753906,0.7179890871047974,0.7461941298258434,0.7441920277451973,0.7344635191990274,0.7339691429934075,0.5570576056509561,0.5647986313846158,0.5570576056509561,0.5434215716492556,0.0256,3155,5056,2218,5993,0.012931212782859802,0.7050624489784241,797,1,7,14,16,54,2,0,0,9,10,4,373,253,8,6,5,0,0,0,1,0,2,86,505,4,1,34,0,0,0,0,0,0,0,0,599,14,1,1,50,2,0,79,16,1,3,12,1197,534,0,0,0,39,10,28,4,3,16,466,1141,4,0,0,88,32,2,0,0,14,0,0,2560,43,12,26,223,0,0,0,59,0,0,8,1550,346,0,19,0,0,0,83,0,0,61,97,1728,3,2,32,3,1,0,332,209,0,1,0,828,18,15,0,3,79,84,229,84,1,5,154,976,16.4503,998.279,31.246
10.0,20530,1.6042,0.0800009741841208,6.7364959716796875,0.7359802722930908,0.7235415905492631,0.7295617439747878,0.7189598838944284,0.7164507544429388,0.5348313238338814,0.539492903760489,0.5348313238338813,0.5206872988737989,0.0324,2981,5230,2409,5802,0.013158582150936127,0.7226640582084656,763,1,8,23,32,54,2,0,0,23,4,3,395,212,27,5,3,0,0,0,5,0,1,114,478,15,0,24,0,0,0,0,0,0,0,1,632,17,3,2,19,4,0,68,7,4,2,25,1198,556,0,0,0,17,3,26,7,6,30,417,1215,4,0,0,67,10,2,0,0,53,0,3,2414,41,5,110,252,0,0,0,102,0,0,43,1464,366,0,7,0,0,0,103,0,0,216,35,1617,2,1,18,4,5,0,463,105,0,0,0,826,3,11,0,0,93,125,322,76,0,3,120,880,16.4847,996.194,31.18
