epoch,step,train_loss,learning_rate,grad_norm,eval_loss,eval_accuracy_branch1,eval_precision_branch1,eval_recall_branch1,eval_f1_branch1,eval_accuracy_branch2,eval_precision_branch2,eval_recall_branch2,eval_f1_branch2,eval_lambda,eval_tn_branch2,eval_fp_branch2,eval_fn_branch2,eval_tp_branch2,eval_loss_branch1,eval_loss_branch2,eval_cm_branch1_actual0_pred0,eval_cm_branch1_actual0_pred1,eval_cm_branch1_actual0_pred2,eval_cm_branch1_actual0_pred3,eval_cm_branch1_actual0_pred4,eval_cm_branch1_actual0_pred5,eval_cm_branch1_actual0_pred6,eval_cm_branch1_actual0_pred7,eval_cm_branch1_actual0_pred8,eval_cm_branch1_actual0_pred9,eval_cm_branch1_actual0_pred10,eval_cm_branch1_actual1_pred0,eval_cm_branch1_actual1_pred1,eval_cm_branch1_actual1_pred2,eval_cm_branch1_actual1_pred3,eval_cm_branch1_actual1_pred4,eval_cm_branch1_actual1_pred5,eval_cm_branch1_actual1_pred6,eval_cm_branch1_actual1_pred7,eval_cm_branch1_actual1_pred8,eval_cm_branch1_actual1_pred9,eval_cm_branch1_actual1_pred10,eval_cm_branch1_actual2_pred0,eval_cm_branch1_actual2_pred1,eval_cm_branch1_actual2_pred2,eval_cm_branch1_actual2_pred3,eval_cm_branch1_actual2_pred4,eval_cm_branch1_actual2_pred5,eval_cm_branch1_actual2_pred6,eval_cm_branch1_actual2_pred7,eval_cm_branch1_actual2_pred8,eval_cm_branch1_actual2_pred9,eval_cm_branch1_actual2_pred10,eval_cm_branch1_actual3_pred0,eval_cm_branch1_actual3_pred1,eval_cm_branch1_actual3_pred2,eval_cm_branch1_actual3_pred3,eval_cm_branch1_actual3_pred4,eval_cm_branch1_actual3_pred5,eval_cm_branch1_actual3_pred6,eval_cm_branch1_actual3_pred7,eval_cm_branch1_actual3_pred8,eval_cm_branch1_actual3_pred9,eval_cm_branch1_actual3_pred10,eval_cm_branch1_actual4_pred0,eval_cm_branch1_actual4_pred1,eval_cm_branch1_actual4_pred2,eval_cm_branch1_actual4_pred3,eval_cm_branch1_actual4_pred4,eval_cm_branch1_actual4_pred5,eval_cm_branch1_actual4_pred6,eval_cm_branch1_actual4_pred7,eval_cm_branch1_actual4_pred8,eval_cm_branch1_actual4_pred9,eval_cm_branch1_actual4_pred10,eval_cm_branch1_actual5_pred0,eval_cm_branch1_actual5_pred1,eval_cm_branch1_actual5_pred2,eval_cm_branch1_actual5_pred3,eval_cm_branch1_actual5_pred4,eval_cm_branch1_actual5_pred5,eval_cm_branch1_actual5_pred6,eval_cm_branch1_actual5_pred7,eval_cm_branch1_actual5_pred8,eval_cm_branch1_actual5_pred9,eval_cm_branch1_actual5_pred10,eval_cm_branch1_actual6_pred0,eval_cm_branch1_actual6_pred1,eval_cm_branch1_actual6_pred2,eval_cm_branch1_actual6_pred3,eval_cm_branch1_actual6_pred4,eval_cm_branch1_actual6_pred5,eval_cm_branch1_actual6_pred6,eval_cm_branch1_actual6_pred7,eval_cm_branch1_actual6_pred8,eval_cm_branch1_actual6_pred9,eval_cm_branch1_actual6_pred10,eval_cm_branch1_actual7_pred0,eval_cm_branch1_actual7_pred1,eval_cm_branch1_actual7_pred2,eval_cm_branch1_actual7_pred3,eval_cm_branch1_actual7_pred4,eval_cm_branch1_actual7_pred5,eval_cm_branch1_actual7_pred6,eval_cm_branch1_actual7_pred7,eval_cm_branch1_actual7_pred8,eval_cm_branch1_actual7_pred9,eval_cm_branch1_actual7_pred10,eval_cm_branch1_actual8_pred0,eval_cm_branch1_actual8_pred1,eval_cm_branch1_actual8_pred2,eval_cm_branch1_actual8_pred3,eval_cm_branch1_actual8_pred4,eval_cm_branch1_actual8_pred5,eval_cm_branch1_actual8_pred6,eval_cm_branch1_actual8_pred7,eval_cm_branch1_actual8_pred8,eval_cm_branch1_actual8_pred9,eval_cm_branch1_actual8_pred10,eval_cm_branch1_actual9_pred0,eval_cm_branch1_actual9_pred1,eval_cm_branch1_actual9_pred2,eval_cm_branch1_actual9_pred3,eval_cm_branch1_actual9_pred4,eval_cm_branch1_actual9_pred5,eval_cm_branch1_actual9_pred6,eval_cm_branch1_actual9_pred7,eval_cm_branch1_actual9_pred8,eval_cm_branch1_actual9_pred9,eval_cm_branch1_actual9_pred10,eval_cm_branch1_actual10_pred0,eval_cm_branch1_actual10_pred1,eval_cm_branch1_actual10_pred2,eval_cm_branch1_actual10_pred3,eval_cm_branch1_actual10_pred4,eval_cm_branch1_actual10_pred5,eval_cm_branch1_actual10_pred6,eval_cm_branch1_actual10_pred7,eval_cm_branch1_actual10_pred8,eval_cm_branch1_actual10_pred9,eval_cm_branch1_actual10_pred10,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,2053,1.3831,0.0980009741841208,3.758274793624878,0.9392469525337219,0.678258221680877,0.6128266488414591,0.6061947316443715,0.5983233976178413,0.7204019488428746,0.7920751143681088,0.7204019488428746,0.7021280306682369,0.0,3881,4329,262,7948,0.3491953909397125,0.5885885953903198,462,0,14,0,158,32,23,1,5,161,56,1,0,279,0,53,39,153,17,24,56,26,6,0,308,0,41,18,78,43,22,71,47,0,0,0,609,2,30,75,0,15,2,13,16,0,45,1,1095,120,14,10,3,203,305,13,0,86,3,448,619,54,15,8,314,222,7,0,0,32,1,16,2660,0,42,116,4,0,0,1,1,0,0,0,1914,22,0,42,2,0,2,10,1,3,45,15,1891,0,7,15,0,7,0,56,29,236,0,0,1022,59,10,0,26,4,393,223,92,24,12,287,557,16.6049,988.864,30.955
2.0,4106,0.897,0.0960009741841208,3.7960891723632812,0.40621742606163025,0.8545676004872107,0.8580300469760981,0.8139734206435406,0.8290042583444581,0.8904384896467722,0.894479972048852,0.8904384896467723,0.890157152210279,0.0004,6895,1315,484,7726,0.08679790049791336,0.3194626569747925,658,2,10,0,38,24,88,0,4,59,29,10,399,31,0,22,7,67,43,6,45,18,11,58,361,0,38,27,1,100,1,27,10,0,0,0,721,3,3,2,1,2,2,12,5,9,8,0,1312,146,12,16,1,67,236,14,25,7,2,199,1262,31,19,5,58,160,2,0,0,11,0,11,2820,0,7,22,5,0,0,0,0,0,0,0,1958,4,0,18,0,0,0,1,0,0,14,1,1957,0,3,3,2,0,0,17,8,68,2,0,1159,165,3,2,0,1,80,35,25,10,0,47,1425,16.5248,993.656,31.105
3.0,6159,0.862,0.0940009741841208,5.715035438537598,0.5395022630691528,0.8908647990255786,0.8995742665201711,0.8705925895822947,0.8829117663138139,0.756394640682095,0.7624991425741392,0.7563946406820949,0.754970078294969,0.0016,6836,1374,2626,5584,0.04751879349350929,0.4927889406681061,689,0,0,0,15,22,136,0,0,22,28,20,538,16,0,6,20,18,5,2,10,13,19,22,487,0,45,26,3,21,4,1,6,0,0,0,735,8,1,0,0,0,0,2,14,2,4,4,1454,130,24,2,2,25,151,22,8,2,5,163,1417,45,3,4,29,84,3,0,0,9,0,19,2837,0,3,5,2,0,0,0,0,0,0,0,1960,7,0,13,0,0,0,1,0,1,16,0,1958,0,0,9,4,0,1,35,19,49,0,0,1194,113,4,1,0,4,140,40,35,7,0,38,1359,16.2924,1007.834,31.549
4.0,8212,0.8746,0.0920009741841208,6.692630767822266,0.5857012867927551,0.9023142509135201,0.9080679972381135,0.8825525543575439,0.892954260424155,0.7150426309378807,0.7396959945254129,0.7150426309378806,0.7075221005995305,0.0036,7187,1023,3656,4554,0.032728150486946106,0.5538784861564636,694,0,0,0,5,21,129,0,2,32,29,36,544,10,0,1,21,10,4,0,11,11,9,28,497,0,21,57,2,9,3,2,6,0,0,0,734,8,0,1,0,0,0,3,35,7,3,1,1418,109,17,0,1,32,189,35,3,0,3,150,1437,27,3,3,14,107,4,0,0,5,0,14,2848,0,1,3,3,0,0,0,2,0,0,0,1967,0,0,11,0,0,0,2,0,0,9,0,1965,0,0,3,8,0,0,17,18,38,0,0,1222,118,1,0,0,1,68,25,23,3,0,17,1490,16.5513,992.066,31.055
5.0,10265,0.8998,0.0900009741841208,3.8323094844818115,0.7112467885017395,0.9073690621193666,0.9120439679969653,0.8892143061896828,0.8986485807082112,0.5971985383678441,0.6642675843775725,0.5971985383678441,0.5514096390007193,0.0064,7526,684,5930,2280,0.028454266488552094,0.683562159538269,694,0,1,0,10,10,147,0,6,13,31,38,558,11,0,1,13,9,2,1,10,5,16,25,515,0,22,33,4,5,3,3,8,0,0,0,736,5,2,3,0,0,0,0,31,5,7,0,1476,82,16,2,3,28,162,34,5,4,5,117,1428,35,7,5,32,110,3,0,0,0,0,5,2864,0,3,1,2,0,0,0,0,0,0,0,1970,10,0,0,0,0,0,1,0,0,10,0,1965,0,0,13,6,0,1,33,5,43,1,0,1202,120,2,0,0,1,51,15,31,5,1,31,1491,16.2877,1008.122,31.558
6.0,12318,0.9518,0.0880009741841208,6.5696187019348145,0.7714930772781372,0.9053593179049939,0.9123998418859363,0.8902696033504852,0.8977712355131948,0.5612058465286236,0.5932551093736449,0.5612058465286236,0.5199618053749503,0.010000000000000002,7014,1196,6009,2201,0.026575569063425064,0.7456680536270142,715,3,3,0,7,8,64,2,5,11,94,33,569,6,0,0,6,3,3,1,6,21,20,23,531,0,25,8,2,6,3,0,16,0,0,0,738,5,1,2,0,0,0,0,19,7,2,1,1471,60,6,7,1,16,222,45,13,6,4,89,1420,22,11,6,26,140,3,0,0,2,0,5,2853,0,10,0,5,0,0,0,0,0,0,0,1975,5,0,0,0,0,0,0,0,0,2,0,1974,0,0,7,10,0,0,27,8,21,4,0,1117,230,1,4,1,4,56,21,16,11,1,10,1503,16.2133,1012.751,31.702
7.0,14371,1.0277,0.08600097418412081,6.4515228271484375,0.8776926398277283,0.9110231425091352,0.9176416626247144,0.8885689781292222,0.8992431139084863,0.4861753958587089,0.4789180516079291,0.48617539585870884,0.43779106606958595,0.0144,6400,1810,6627,1583,0.01587744615972042,0.8618354201316833,609,1,0,0,13,9,81,0,1,160,38,13,570,2,0,6,16,2,2,0,12,25,4,33,501,1,28,40,2,3,3,10,9,0,0,0,737,5,3,1,0,0,0,0,4,0,3,0,1459,161,5,2,2,43,133,10,6,1,5,64,1565,15,2,2,29,83,0,0,0,1,0,7,2861,0,2,3,4,0,0,0,0,0,0,0,1975,5,0,0,0,0,0,0,0,0,7,0,1968,0,1,2,11,0,0,17,17,27,0,0,1258,92,1,1,1,1,71,51,11,5,0,30,1456,16.2886,1008.066,31.556
8.0,16424,1.099,0.08400097418412081,3.9676287174224854,0.7906171083450317,0.9123020706455542,0.9219610378868566,0.8890904669884464,0.9013285925873181,0.48824604141291106,0.48532476554198306,0.4882460414129111,0.4614446152566559,0.019600000000000003,2177,6033,2370,5840,0.01588999293744564,0.7743367552757263,594,0,0,0,3,13,159,0,0,77,66,10,565,2,0,2,29,8,1,0,15,16,4,35,501,0,22,44,6,0,0,12,10,0,0,0,737,2,3,2,0,0,2,0,10,2,5,0,1458,123,22,0,0,52,140,13,3,2,1,51,1564,46,0,2,43,57,0,0,0,0,0,8,2865,0,2,2,1,0,0,0,0,0,0,0,1964,14,0,2,0,0,0,0,0,0,19,0,1956,0,1,5,7,0,0,13,9,33,0,0,1294,63,1,0,0,2,51,36,22,2,0,32,1482,16.2788,1008.676,31.575
9.0,18477,1.1196,0.0820009741841208,15.586105346679688,0.7974664568901062,0.9064555420219245,0.912258405314444,0.8877958192072298,0.8967264202238204,0.4508526187576127,0.4203041310613791,0.4508526187576126,0.392651419339339,0.0256,6243,1967,7050,1160,0.016801252961158752,0.7813964486122131,597,4,0,0,1,8,156,0,2,111,33,14,564,4,0,6,29,2,2,0,13,14,5,17,532,0,39,20,5,1,0,4,11,0,0,0,739,6,1,0,0,0,0,0,12,4,2,1,1501,96,9,1,1,31,154,14,6,3,4,94,1533,23,2,2,14,87,0,0,0,44,0,26,2799,0,3,2,4,0,0,0,0,0,0,0,1936,44,0,0,0,0,0,0,0,0,4,1,1971,0,0,1,11,0,0,34,23,12,0,0,1236,107,1,0,1,4,95,28,9,5,0,9,1476,16.5249,993.65,31.105
10.0,20530,1.1173,0.0800009741841208,10.34610366821289,0.8775027394294739,0.9172350791717417,0.9244259781557648,0.8944122695086955,0.9066310058217766,0.5,0.25,0.5,0.3333333333333333,0.0324,0,8210,0,8210,0.011021139100193977,0.865388035774231,673,1,0,0,2,16,90,0,1,109,20,15,538,4,0,2,55,5,2,0,10,17,8,16,499,0,60,34,4,1,1,4,7,0,0,0,739,4,2,1,0,0,0,0,14,2,1,0,1513,95,15,1,1,19,151,10,4,1,4,56,1582,31,3,2,21,68,2,0,0,6,0,10,2851,0,3,5,1,0,0,0,0,0,0,0,1949,28,0,3,0,0,0,0,0,0,3,0,1973,0,0,5,6,0,1,30,13,16,1,0,1261,91,1,0,0,1,58,42,16,7,0,20,1483,16.4808,996.31,31.188
