epoch,step,train_loss,learning_rate,grad_norm,eval_loss,eval_accuracy_branch1,eval_precision_branch1,eval_recall_branch1,eval_f1_branch1,eval_accuracy_branch2,eval_precision_branch2,eval_recall_branch2,eval_f1_branch2,eval_lambda,eval_tn_branch2,eval_fp_branch2,eval_fn_branch2,eval_tp_branch2,eval_loss_branch1,eval_loss_branch2,eval_cm_branch1_actual0_pred0,eval_cm_branch1_actual0_pred1,eval_cm_branch1_actual0_pred2,eval_cm_branch1_actual0_pred3,eval_cm_branch1_actual0_pred4,eval_cm_branch1_actual0_pred5,eval_cm_branch1_actual0_pred6,eval_cm_branch1_actual0_pred7,eval_cm_branch1_actual0_pred8,eval_cm_branch1_actual0_pred9,eval_cm_branch1_actual0_pred10,eval_cm_branch1_actual1_pred0,eval_cm_branch1_actual1_pred1,eval_cm_branch1_actual1_pred2,eval_cm_branch1_actual1_pred3,eval_cm_branch1_actual1_pred4,eval_cm_branch1_actual1_pred5,eval_cm_branch1_actual1_pred6,eval_cm_branch1_actual1_pred7,eval_cm_branch1_actual1_pred8,eval_cm_branch1_actual1_pred9,eval_cm_branch1_actual1_pred10,eval_cm_branch1_actual2_pred0,eval_cm_branch1_actual2_pred1,eval_cm_branch1_actual2_pred2,eval_cm_branch1_actual2_pred3,eval_cm_branch1_actual2_pred4,eval_cm_branch1_actual2_pred5,eval_cm_branch1_actual2_pred6,eval_cm_branch1_actual2_pred7,eval_cm_branch1_actual2_pred8,eval_cm_branch1_actual2_pred9,eval_cm_branch1_actual2_pred10,eval_cm_branch1_actual3_pred0,eval_cm_branch1_actual3_pred1,eval_cm_branch1_actual3_pred2,eval_cm_branch1_actual3_pred3,eval_cm_branch1_actual3_pred4,eval_cm_branch1_actual3_pred5,eval_cm_branch1_actual3_pred6,eval_cm_branch1_actual3_pred7,eval_cm_branch1_actual3_pred8,eval_cm_branch1_actual3_pred9,eval_cm_branch1_actual3_pred10,eval_cm_branch1_actual4_pred0,eval_cm_branch1_actual4_pred1,eval_cm_branch1_actual4_pred2,eval_cm_branch1_actual4_pred3,eval_cm_branch1_actual4_pred4,eval_cm_branch1_actual4_pred5,eval_cm_branch1_actual4_pred6,eval_cm_branch1_actual4_pred7,eval_cm_branch1_actual4_pred8,eval_cm_branch1_actual4_pred9,eval_cm_branch1_actual4_pred10,eval_cm_branch1_actual5_pred0,eval_cm_branch1_actual5_pred1,eval_cm_branch1_actual5_pred2,eval_cm_branch1_actual5_pred3,eval_cm_branch1_actual5_pred4,eval_cm_branch1_actual5_pred5,eval_cm_branch1_actual5_pred6,eval_cm_branch1_actual5_pred7,eval_cm_branch1_actual5_pred8,eval_cm_branch1_actual5_pred9,eval_cm_branch1_actual5_pred10,eval_cm_branch1_actual6_pred0,eval_cm_branch1_actual6_pred1,eval_cm_branch1_actual6_pred2,eval_cm_branch1_actual6_pred3,eval_cm_branch1_actual6_pred4,eval_cm_branch1_actual6_pred5,eval_cm_branch1_actual6_pred6,eval_cm_branch1_actual6_pred7,eval_cm_branch1_actual6_pred8,eval_cm_branch1_actual6_pred9,eval_cm_branch1_actual6_pred10,eval_cm_branch1_actual7_pred0,eval_cm_branch1_actual7_pred1,eval_cm_branch1_actual7_pred2,eval_cm_branch1_actual7_pred3,eval_cm_branch1_actual7_pred4,eval_cm_branch1_actual7_pred5,eval_cm_branch1_actual7_pred6,eval_cm_branch1_actual7_pred7,eval_cm_branch1_actual7_pred8,eval_cm_branch1_actual7_pred9,eval_cm_branch1_actual7_pred10,eval_cm_branch1_actual8_pred0,eval_cm_branch1_actual8_pred1,eval_cm_branch1_actual8_pred2,eval_cm_branch1_actual8_pred3,eval_cm_branch1_actual8_pred4,eval_cm_branch1_actual8_pred5,eval_cm_branch1_actual8_pred6,eval_cm_branch1_actual8_pred7,eval_cm_branch1_actual8_pred8,eval_cm_branch1_actual8_pred9,eval_cm_branch1_actual8_pred10,eval_cm_branch1_actual9_pred0,eval_cm_branch1_actual9_pred1,eval_cm_branch1_actual9_pred2,eval_cm_branch1_actual9_pred3,eval_cm_branch1_actual9_pred4,eval_cm_branch1_actual9_pred5,eval_cm_branch1_actual9_pred6,eval_cm_branch1_actual9_pred7,eval_cm_branch1_actual9_pred8,eval_cm_branch1_actual9_pred9,eval_cm_branch1_actual9_pred10,eval_cm_branch1_actual10_pred0,eval_cm_branch1_actual10_pred1,eval_cm_branch1_actual10_pred2,eval_cm_branch1_actual10_pred3,eval_cm_branch1_actual10_pred4,eval_cm_branch1_actual10_pred5,eval_cm_branch1_actual10_pred6,eval_cm_branch1_actual10_pred7,eval_cm_branch1_actual10_pred8,eval_cm_branch1_actual10_pred9,eval_cm_branch1_actual10_pred10,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,2053,1.4296,0.0980009741841208,3.6884653568267822,0.7042828798294067,0.7201315308732189,0.6586924811499248,0.6426252540917207,0.6382416475775018,0.7500304469613932,0.8184971067467826,0.7500304469613932,0.7358336229717888,0.0,4255,3956,149,8062,0.22726655006408691,0.4763222634792328,409,0,2,0,55,24,45,0,1,358,16,9,0,268,0,83,102,75,0,79,31,3,21,0,299,0,22,96,59,0,99,35,1,0,0,0,651,0,9,55,0,5,1,27,22,0,0,0,1069,242,34,1,13,314,119,20,2,6,4,413,814,76,0,25,295,127,0,0,0,39,0,7,2766,0,4,45,19,0,0,0,3,1,0,25,1859,43,1,48,1,0,0,1,1,1,69,7,1880,7,7,3,0,0,0,19,21,188,0,3,1150,40,5,0,0,9,138,85,94,6,8,354,929,18.5035,887.506,27.778
2.0,4106,0.9533,0.0960009741841208,8.646401405334473,0.5624406337738037,0.81439532334673,0.8100407087019638,0.768760980846017,0.7790932609302194,0.7975886006576544,0.8150296908060883,0.7975886006576544,0.7947477389124986,0.0004,7515,696,2628,5583,0.11137199401855469,0.4514995813369751,631,0,7,2,26,2,84,6,2,122,28,8,262,79,0,47,117,72,1,44,16,4,20,31,415,0,40,35,4,0,79,8,0,0,0,0,705,3,3,19,0,5,0,13,71,0,7,3,1205,212,26,2,30,94,164,66,1,9,29,201,1230,76,5,32,72,61,2,0,0,59,0,7,2787,5,13,4,3,0,0,0,1,4,0,1,1938,22,0,14,0,0,0,0,1,0,15,2,1956,0,0,5,0,0,0,51,38,124,13,6,1021,166,3,0,0,38,110,35,67,62,17,72,1224,17.6077,932.659,29.192
3.0,6159,0.8983,0.0940009741841208,5.154602527618408,0.6510360836982727,0.8560467665327001,0.8575479998698018,0.8165867401827672,0.8306086848644108,0.670198514188284,0.7698673303352288,0.670198514188284,0.63664992600109,0.0016,7998,213,5203,3008,0.06890520453453064,0.5831664204597473,620,8,0,1,56,36,92,3,0,63,31,6,458,5,0,27,39,75,3,5,26,6,9,156,366,0,20,28,5,0,34,14,0,0,1,0,715,1,3,9,0,1,2,16,16,4,4,2,1386,221,19,1,9,57,95,18,26,2,2,179,1386,49,0,7,84,29,1,0,0,18,0,12,2843,0,0,3,3,0,0,0,0,0,0,3,1971,0,0,6,1,0,0,0,2,0,24,6,1941,0,0,4,5,0,0,98,11,61,0,1,1100,144,0,4,0,19,139,43,64,11,1,75,1272,17.3623,945.843,29.604
4.0,8212,0.9134,0.0920009741841208,4.442026615142822,0.6257707476615906,0.8791864571915723,0.8878633375754965,0.857552877054399,0.8673810885686412,0.6706856655705761,0.680755122656163,0.6706856655705761,0.6660345515357943,0.0036,4538,3673,1735,6476,0.04773746803402901,0.5779670476913452,686,1,7,0,19,5,51,1,0,120,20,11,464,18,0,11,48,32,1,3,52,10,15,13,535,0,8,19,4,0,15,23,0,0,0,0,704,4,2,16,1,0,3,18,35,8,0,0,1207,237,12,1,3,218,93,41,12,15,2,76,1395,34,0,4,181,22,1,0,0,2,0,7,2860,0,0,5,5,0,0,0,0,0,0,2,1970,0,0,8,0,0,0,0,1,0,22,0,1951,0,0,4,0,0,0,29,15,15,0,0,1313,48,0,0,0,4,77,21,25,2,0,146,1353,17.5603,935.177,29.271
5.0,10265,0.9266,0.0900009741841208,3.3476340770721436,0.663619339466095,0.8943490439654123,0.8965797570570888,0.8747376697038487,0.8833355709087519,0.6326269638290098,0.6349927607550312,0.6326269638290098,0.6310102943377967,0.0064,4651,3560,2473,5738,0.030733538791537285,0.6329087018966675,774,1,0,0,8,9,47,0,0,41,30,13,478,8,0,23,67,36,1,3,14,7,27,21,521,0,6,35,2,0,12,8,0,1,3,0,715,4,5,7,0,1,1,11,58,2,4,2,1329,236,13,1,6,91,72,64,9,2,0,69,1488,30,0,5,79,36,1,0,0,17,1,10,2822,0,3,3,23,0,0,0,0,0,0,1,1974,0,0,5,0,0,0,0,1,0,13,5,1955,0,0,10,0,0,0,48,27,33,0,0,1193,113,2,2,0,2,59,28,26,1,0,70,1438,17.5541,935.508,29.281
6.0,12318,0.9579,0.0880009741841208,3.4467155933380127,0.6800295114517212,0.912495432955791,0.9074487361687384,0.89922800230014,0.9011880352140031,0.6322007063695043,0.6587522054976959,0.6322007063695043,0.6161508993292414,0.010000000000000002,3512,4699,1341,6870,0.029316237196326256,0.6507844924926758,850,4,0,0,6,4,11,0,0,30,5,28,544,4,0,29,7,11,1,1,11,14,30,54,511,1,15,13,1,0,4,3,0,2,1,0,709,3,4,7,0,0,1,21,84,4,5,0,1421,135,4,0,2,83,76,90,11,3,0,101,1457,16,0,0,69,35,4,1,0,1,0,10,2852,0,0,4,8,1,0,0,0,1,0,0,1930,0,0,48,8,0,0,0,2,1,20,3,1940,0,0,18,3,0,0,21,32,11,0,0,1287,52,2,0,0,1,37,24,12,0,0,68,1484,17.5318,936.699,29.318
7.0,14371,0.9918,0.08600097418412081,10.730303764343262,0.7197949886322021,0.9103641456582633,0.9181110576653492,0.8883442922737609,0.8997696033244984,0.5364145658263305,0.5403048975488287,0.5364145658263305,0.5249513380824234,0.0144,5680,2531,5082,3129,0.021779261529445648,0.6983594298362732,697,5,1,0,21,17,29,0,0,69,71,3,474,6,0,37,99,7,0,0,14,10,2,13,552,0,14,44,2,0,0,2,3,1,2,0,734,0,0,2,0,0,0,9,10,3,4,1,1420,219,4,2,1,47,103,12,5,5,3,63,1606,11,0,1,43,33,0,0,0,9,0,17,2840,0,0,4,10,0,0,0,0,0,0,0,1973,0,0,7,0,0,0,0,0,0,13,13,1947,0,1,1,3,0,0,37,68,5,0,0,1207,103,0,2,0,2,34,33,6,4,0,47,1500,17.3924,944.208,29.553
8.0,16424,1.0587,0.08400097418412081,5.879126071929932,0.7966043949127197,0.8955060284983558,0.905611784111223,0.8706747569347154,0.8837237929931585,0.5172329801485812,0.5723043767909134,0.5172329801485812,0.4036856998761071,0.019600000000000003,664,7547,381,7830,0.015221542678773403,0.780699610710144,694,1,1,0,9,10,55,3,0,68,69,9,439,16,0,22,76,27,1,1,39,20,7,6,539,1,29,25,5,0,5,11,4,0,1,0,726,3,0,9,0,0,1,8,23,3,1,1,1383,141,14,15,2,121,110,20,3,0,1,71,1476,37,0,3,107,64,1,0,0,5,0,7,2858,0,2,1,6,0,0,0,0,0,0,0,1980,0,0,0,0,0,0,0,1,0,21,8,1944,0,0,1,1,0,0,32,9,17,1,0,1249,114,1,0,0,3,63,21,28,9,0,85,1418,17.5969,933.23,29.21
9.0,18477,1.0901,0.0820009741841208,6.556845664978027,0.9377502202987671,0.90153452685422,0.9061649531445292,0.8832324162685161,0.8916450925500548,0.5,0.25,0.5,0.3333333333333333,0.0256,0,8211,0,8211,0.015892917290329933,0.9206582307815552,826,2,1,0,3,8,29,0,1,32,8,25,458,22,0,20,61,24,2,1,28,9,28,2,550,0,11,24,4,0,7,6,0,0,2,0,715,1,0,21,0,0,0,9,63,3,1,0,1386,148,18,6,11,111,67,56,1,1,2,72,1468,53,1,7,84,37,0,0,1,2,0,3,2862,0,8,1,3,0,0,0,0,0,0,1,1964,15,0,0,0,0,0,0,0,0,8,0,1966,0,0,14,1,0,0,46,20,51,0,0,1187,105,2,0,0,4,41,13,56,8,0,81,1423,17.295,949.525,29.72
10.0,20530,1.12,0.0800009741841208,16.546550750732422,0.730496883392334,0.8985507246376812,0.9076510479262869,0.8769877510869716,0.8884875469450101,0.4778346121057119,0.47305239628504414,0.4778346121057118,0.4535927789090751,0.0324,5653,2558,6017,2194,0.014415978454053402,0.7163054347038269,615,3,1,0,34,8,62,1,0,108,78,8,511,14,0,33,23,35,0,1,15,10,1,7,560,0,21,18,9,0,5,10,1,0,2,0,724,3,0,8,0,0,0,11,18,2,4,1,1532,47,16,5,6,94,89,24,10,3,2,180,1351,50,0,2,100,60,0,0,0,5,1,6,2860,0,3,1,4,0,0,0,0,0,0,0,1974,3,0,3,0,0,0,0,0,0,9,0,1965,0,0,1,6,0,0,54,17,41,0,0,1209,96,0,1,0,6,52,8,40,4,0,62,1455,16.8952,971.991,30.423
