epoch,step,train_loss,learning_rate,grad_norm,eval_loss,eval_accuracy_branch1,eval_precision_branch1,eval_recall_branch1,eval_f1_branch1,eval_accuracy_branch2,eval_precision_branch2,eval_recall_branch2,eval_f1_branch2,eval_lambda,eval_tn_branch2,eval_fp_branch2,eval_fn_branch2,eval_tp_branch2,eval_loss_branch1,eval_loss_branch2,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,2053,1.2917,0.0980009741841208,8.196176528930664,1.0285797119140625,0.7684813055657046,0.7807681183964742,0.7393150927098595,0.7391627658372157,0.5003044696139325,0.5962300238612019,0.5003044696139325,0.33444123043806717,0.0,9,8202,4,8207,0.277789831161499,0.7497952580451965,16.3076,1007.015,31.519
2.0,4106,0.9764,0.0960009741841208,8.043209075927734,0.8477137088775635,0.8920959688223116,0.8783398469258299,0.8751212256166899,0.8732401679473984,0.5109000121787846,0.6413245673971251,0.5109000121787846,0.3642122583299054,0.02,8139,72,7960,251,0.14738218486309052,0.7002046704292297,15.7479,1042.804,32.639
3.0,6159,0.9061,0.0940009741841208,5.299636363983154,0.8008172512054443,0.9201071733041043,0.9108250181908399,0.8949236633731403,0.8944825920550752,0.531664839848983,0.5517193862689034,0.531664839848983,0.48139132279320074,0.04,6922,1289,6402,1809,0.09559928625822067,0.705245852470398,15.9232,1031.328,32.28
4.0,8212,0.8935,0.0920009741841208,8.289043426513672,0.7734070420265198,0.9427597125806845,0.9344506662160188,0.9285603546972504,0.9266806784191091,0.5029838022165388,0.503194340104969,0.5029838022165388,0.4946570560931557,0.06,5184,3027,5135,3076,0.06779581308364868,0.7056950330734253,15.8754,1034.428,32.377
5.0,10265,0.9216,0.0900009741841208,10.297833442687988,0.7598778605461121,0.9674826452320059,0.9631747146495577,0.9643904436587487,0.9635499259480954,0.506028498355864,0.5091621378147992,0.506028498355864,0.45984223361595644,0.08,6556,1655,6457,1754,0.04877804219722748,0.711139976978302,15.6698,1048.002,32.802
6.0,12318,1.0394,0.0880009741841208,18.394397735595703,1.0438657999038696,0.9733284618195104,0.967541142186986,0.9659583540984369,0.9660096022274999,0.5004262574595055,0.505094646778425,0.5004262574595055,0.3519746113278762,0.1,179,8032,172,8039,0.033802445977926254,1.008806824684143,15.7021,1045.848,32.734
7.0,14371,1.2418,0.08600097418412081,29.38426971435547,0.947822093963623,0.9767994154183413,0.9740759083778734,0.9733768344296643,0.9735274532640056,0.5037145292899768,0.5074546211429702,0.5037145292899768,0.4325386226392123,0.12,1228,6983,1167,7044,0.03188449889421463,0.9149608612060547,15.7595,1042.036,32.615
8.0,16424,1.4701,0.08400097418412081,31.374452590942383,1.0649946928024292,0.9834368530020704,0.9801610248997218,0.9815153948771086,0.9807518785768953,0.5023139690658872,0.5107414683235849,0.5023139690658872,0.38087661790934363,0.14,7761,450,7723,488,0.02310274913907051,1.0433367490768433,15.7481,1042.79,32.639
9.0,18477,1.6995,0.0820009741841208,32.939571380615234,1.2133128643035889,0.9832541712337108,0.980922981531289,0.980531268842567,0.9806897314452012,0.494824016563147,0.44319207571231806,0.494824016563147,0.34628613105763073,0.16,7977,234,8062,149,0.024118619039654732,1.1910085678100586,15.7708,1041.294,32.592
10.0,20530,1.9503,0.0800009741841208,36.89729690551758,2.0060415267944336,0.9807575203994642,0.9793903639613984,0.9777938076677647,0.978434369710738,0.5,0.25,0.5,0.3333333333333333,0.18,8211,0,8211,0,0.027681265026330948,1.9820706844329834,15.8008,1039.315,32.53
11.0,22583,2.1711,0.0780009741841208,43.75418472290039,2.2548561096191406,0.985568140299598,0.9833106307437429,0.9844242874386405,0.9838549950314519,0.5,0.25,0.5,0.3333333333333333,0.2,8211,0,8211,0,0.020858168601989746,2.238189697265625,15.7393,1043.376,32.657
12.0,24636,2.3514,0.0760009741841208,52.316497802734375,2.102365493774414,0.985202776762879,0.9829963927488143,0.9837101965005846,0.9832338408242994,0.5,0.25,0.5,0.3333333333333333,0.22,8211,0,8211,0,0.021639175713062286,2.084491729736328,15.7145,1045.021,32.709
13.0,26689,2.548,0.0740009741841208,80.32101440429688,2.9132449626922607,0.9870904883692607,0.984470279229712,0.985578816531675,0.9849814941034357,0.5,0.25,0.5,0.3333333333333333,0.24,0,8211,0,8211,0.01949905976653099,2.889216899871826,15.7101,1045.316,32.718
14.0,28742,2.6984,0.07200097418412081,107.13858795166016,2.176114559173584,0.9863597612958227,0.9845311797210731,0.9848013878183187,0.9846096168570927,0.5,0.25,0.5,0.3333333333333333,0.26,0,8211,0,8211,0.020279834046959877,2.1525206565856934,15.7435,1043.094,32.648
15.0,30795,2.8559,0.07000097418412081,48.45001220703125,2.5297656059265137,0.984350261843868,0.9821241103485221,0.982205231012923,0.9820604179701203,0.5,0.25,0.5,0.3333333333333333,0.28,8211,0,8211,0,0.023478033021092415,2.5110883712768555,15.8462,1036.336,32.437
16.0,32848,2.984,0.06800097418412081,62.927162170410156,2.3251090049743652,0.9861161856046766,0.9827420720244376,0.984316415054539,0.9834450881056745,0.5,0.25,0.5,0.3333333333333333,0.3,8211,0,8211,0,0.02244504913687706,2.3070409297943115,15.7341,1043.718,32.668
17.0,34901,3.0752,0.0660009741841208,42.54518127441406,1.1976252794265747,0.9852636706856656,0.9823114564723884,0.9830046442841717,0.9826241594877794,0.5,0.25,0.5,0.3333333333333333,0.32,0,8211,0,8211,0.02177588827908039,1.1742291450500488,15.7419,1043.206,32.652
18.0,36954,3.1765,0.0640009741841208,139.7550506591797,2.2495830059051514,0.9862379734502497,0.9843713963228159,0.9844543371836185,0.9843696267570071,0.5,0.25,0.5,0.3333333333333333,0.34,8211,0,8211,0,0.02160889282822609,2.2322912216186523,15.7358,1043.608,32.664
19.0,39007,3.217,0.062000974184120795,160.48475646972656,2.2842986583709717,0.9858117159907441,0.984314575923569,0.9844497639762886,0.9843318414526294,0.5,0.25,0.5,0.3333333333333333,0.36,8211,0,8211,0,0.021473392844200134,2.2672080993652344,15.7365,1043.56,32.663
20.0,41060,3.2945,0.06000097418412081,93.2780532836914,3.9196112155914307,0.9835586408476434,0.9796480095975437,0.9804012521324268,0.9797664062798245,0.5,0.25,0.5,0.3333333333333333,0.38,0,8211,0,8211,0.024718228727579117,3.88875150680542,15.7639,1041.745,32.606
21.0,43113,3.298,0.058000974184120806,130.94235229492188,2.714815139770508,0.9842893679210815,0.9826737640771932,0.9826041098958065,0.9825938120383306,0.5,0.25,0.5,0.3333333333333333,0.4,0,8211,0,8211,0.02453288808465004,2.686065673828125,15.7013,1045.898,32.736
22.0,45166,3.3711,0.056000974184120804,107.6600341796875,2.8905694484710693,0.9846547314578005,0.9835949501063191,0.9832817134034116,0.9833088821221891,0.5,0.25,0.5,0.3333333333333333,0.42,8211,0,8211,0,0.024912968277931213,2.8713555335998535,15.6843,1047.035,32.772
23.0,47219,3.3748,0.0540009741841208,147.02792358398438,3.1626992225646973,0.9825234441602728,0.981355410494342,0.9804775296111425,0.9808445692248974,0.5,0.25,0.5,0.3333333333333333,0.44,8211,0,8211,0,0.027844881638884544,3.141122817993164,15.7621,1041.869,32.61
24.0,49272,3.3279,0.0520009741841208,126.22064971923828,2.0182199478149414,0.8732797466812812,0.937316227638192,0.8982247801927433,0.8767532589601769,0.5,0.25,0.5,0.3333333333333333,0.46,8211,0,8211,0,0.2544184923171997,1.7665300369262695,15.7791,1040.741,32.575
25.0,51325,3.3228,0.0500009741841208,121.29670715332031,3.229212760925293,0.98483741322616,0.98324086981083,0.9831107751596957,0.9831383318091927,0.5,0.25,0.5,0.3333333333333333,0.48,0,8211,0,8211,0.02407495304942131,3.2001571655273438,15.7333,1043.77,32.669
26.0,53378,3.2889,0.048000974184120804,182.1104736328125,2.7456681728363037,0.9820971867007673,0.9812602920833668,0.9802671988084554,0.9806860588645754,0.5,0.25,0.5,0.3333333333333333,0.5,0,8211,0,8211,0.02737010084092617,2.7140722274780273,15.7632,1041.794,32.608
27.0,55431,3.2223,0.0460009741841208,172.78952026367188,3.4242560863494873,0.9838631104615759,0.9817796077052585,0.9810856825067348,0.981298767967554,0.5,0.25,0.5,0.3333333333333333,0.52,0,8211,0,8211,0.026610082015395164,3.392320156097412,15.7021,1045.844,32.734
28.0,57484,3.1768,0.0440009741841208,51.647647857666016,1.7005000114440918,0.9837413226160029,0.98264324838815,0.9812959958148028,0.9819211371615499,0.5,0.25,0.5,0.3333333333333333,0.54,0,8211,0,8211,0.02665095217525959,1.6713606119155884,15.7253,1044.302,32.686
29.0,59537,3.1014,0.0420009741841208,181.54409790039062,2.819101095199585,0.9834977469248569,0.9819454032041047,0.9809136175190392,0.9813485565731774,0.5,0.25,0.5,0.3333333333333333,0.56,8211,0,8211,0,0.027672739699482918,2.796809196472168,15.7083,1045.435,32.722
30.0,61590,3.0182,0.0400009741841208,66.8602523803711,2.5425896644592285,0.9766167336499817,0.9771186975730717,0.9745370577487752,0.9753320957928662,0.5,0.25,0.5,0.3333333333333333,0.58,8211,0,8211,0,0.03429357707500458,2.512831926345825,15.7199,1044.666,32.697
31.0,63643,2.9216,0.0380009741841208,161.76356506347656,2.30926775932312,0.9832541712337108,0.9797989243217049,0.9809915981008834,0.9803382515539255,0.5,0.25,0.5,0.3333333333333333,0.6,8211,0,8211,0,0.028545163571834564,2.284916639328003,15.7607,1041.958,32.613
32.0,65696,2.8383,0.0360009741841208,160.32489013671875,2.127051830291748,0.9810619900133967,0.978932265109549,0.9786518478774433,0.9786656075873839,0.5,0.25,0.5,0.3333333333333333,0.62,0,8211,0,8211,0.031020719558000565,2.092818021774292,15.7378,1043.476,32.66
33.0,67749,2.7282,0.0340009741841208,162.1597137451172,2.661365270614624,0.9851418828400925,0.98387261343178,0.9830297486461514,0.9834245770143476,0.5,0.25,0.5,0.3333333333333333,0.64,0,8211,0,8211,0.026370171457529068,2.6308858394622803,15.6972,1046.177,32.745
34.0,69802,2.6004,0.0320009741841208,161.12823486328125,2.6111338138580322,0.9813664596273292,0.9795047723292019,0.9794241930591194,0.9793140462584883,0.5,0.25,0.5,0.3333333333333333,0.66,8211,0,8211,0,0.029847219586372375,2.5861988067626953,15.7562,1042.255,32.622
35.0,71855,2.4718,0.0300009741841208,92.01398468017578,2.073474645614624,0.9834977469248569,0.9812330905882459,0.9815149428018469,0.9813130331586795,0.5,0.25,0.5,0.3333333333333333,0.68,8211,0,8211,0,0.027600320056080818,2.049530267715454,15.7633,1041.786,32.607
